Project Name,Package Name,Architecture Smell,Cause of the Smell
13_Shop-Management-master,Backup_Restore,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Backup_Restore; Model; View.All_panel
13_Shop-Management-master,Controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Controller; View.All_panel
13_Shop-Management-master,Controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Controller; Model; View.All_panel
13_Shop-Management-master,Controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Controller; Model; View.All_panel; View.Dialogue
13_Shop-Management-master,Controller,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): View
13_Shop-Management-master,Controller,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Get_Category_data]; [Get_product]; [Get_unit]; [Login_cntrl]; [Login_REG_ctrl]; [Purchase]; [Purchase_details_cntrl]; [Purchase_master_contrl]; [Sale]; [Sale_master_contrl]; [Update_cat]; [Update_pdt]; [Update_purchase]; [Update_unit]. LCC (Lack of Component Cohesion) = 1.0
13_Shop-Management-master,Model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Model; View.All_panel
13_Shop-Management-master,Model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Model; View.All_panel; Controller
13_Shop-Management-master,Model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Model; View.All_panel; Controller; View.Login
13_Shop-Management-master,Model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Model; View.All_panel; Controller; View; View.Login
13_Shop-Management-master,Model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): View.All_panel
13_Shop-Management-master,View.All_panel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.All_panel; Model
13_Shop-Management-master,View.All_panel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.All_panel; Controller; Model
13_Shop-Management-master,View.All_panel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.All_panel; Controller; View.Login; Model
13_Shop-Management-master,View.All_panel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.All_panel; Controller; View; View.Login; Model
13_Shop-Management-master,View.All_panel,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Controller
13_Shop-Management-master,View.All_panel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Add_category]; [Create_bill]; [Create_Purchase]; [Create_Sale]; [Product_name]; [Units]. LCC (Lack of Component Cohesion) = 1.0
13_Shop-Management-master,View,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View; View.All_panel; Controller
13_Shop-Management-master,View,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View; View.All_panel; View.Dialogue; Controller
13_Shop-Management-master,View,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View; View.Login; Model; View.All_panel; Controller
13_Shop-Management-master,View.Dialogue,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.Dialogue; View.All_panel
13_Shop-Management-master,View.Dialogue,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.Dialogue; Model; View.All_panel
13_Shop-Management-master,View.Dialogue,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): View.All_panel; Controller
13_Shop-Management-master,View.Login,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.Login; Model; View.All_panel; Controller
13_Shop-Management-master,View.Login,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: View.Login; Model; View.All_panel; Controller; View
