Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
14_Spring-master,io.codefountain.spring.boot.client.controller,SecurityConfiguration,configure,3,1,1,10
14_Spring-master,io.codefountain.spring.boot.client.controller,WebController,securedPage,3,1,2,12
14_Spring-master,io.codefountain.spring.boot.client.controller,WebController,index,3,1,2,17
14_Spring-master,io.codefountain.spring.boot.client,SpringBootAuthorizationClientAppApplication,main,3,1,1,9
14_Spring-master,io.codefountain.spring.boot.client,SpringBootAuthorizationClientAppApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.boot.okta.client,SecurityConfiguration,configure,3,1,1,10
14_Spring-master,io.codefountain.spring.boot.okta.client,SpringBootAuthorizationOktaClientApplication,main,3,1,1,9
14_Spring-master,io.codefountain.spring.boot.okta.client,WebController,securedPage,3,1,2,12
14_Spring-master,io.codefountain.spring.boot.okta.client,WebController,index,3,1,2,17
14_Spring-master,io.codefountain.spring.boot.okta.client,SpringBootAuthorizationOktaClientApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.boot.authserver,AuthServerConfig,AuthServerConfig,3,1,1,24
14_Spring-master,io.codefountain.spring.boot.authserver,AuthServerConfig,configure,3,1,1,28
14_Spring-master,io.codefountain.spring.boot.authserver,AuthServerConfig,configure,3,1,1,34
14_Spring-master,io.codefountain.spring.boot.authserver,SecurityConfiguration,configure,3,1,1,21
14_Spring-master,io.codefountain.spring.boot.authserver,SecurityConfiguration,configure,3,1,1,35
14_Spring-master,io.codefountain.spring.boot.authserver,SecurityConfiguration,passwordEncoder,3,1,0,44
14_Spring-master,io.codefountain.spring.boot.authserver,SpringBootAuthorizationServerAppApplication,main,3,1,1,11
14_Spring-master,io.codefountain.spring.boot.authserver,UserController,user,3,1,1,11
14_Spring-master,io.codefountain.spring.boot.authserver,SpringBootAuthorizationServerAppApplicationTests,contextLoads,2,1,0,12
14_Spring-master,com.codefountain.controllers,TransactionController,createTransaction,4,1,1,22
14_Spring-master,com.codefountain.controllers,TransactionController,viewAllTransactions,3,1,0,28
14_Spring-master,com.codefountain.controllers,TransactionController,viewTransactionById,7,2,1,33
14_Spring-master,com.codefountain.exceptions,InvalidTransationReferenceException,InvalidTransationReferenceException,3,1,1,7
14_Spring-master,com.codefountain.model,Transaction,getTransactionId,3,1,0,18
14_Spring-master,com.codefountain.model,Transaction,setTransactionId,3,1,1,21
14_Spring-master,com.codefountain.model,Transaction,getFromAccount,3,1,0,24
14_Spring-master,com.codefountain.model,Transaction,setFromAccount,3,1,1,27
14_Spring-master,com.codefountain.model,Transaction,getToAccount,3,1,0,30
14_Spring-master,com.codefountain.model,Transaction,setToAccount,3,1,1,33
14_Spring-master,com.codefountain.model,Transaction,getAmount,3,1,0,36
14_Spring-master,com.codefountain.model,Transaction,setAmount,3,1,1,39
14_Spring-master,com.codefountain.service,TransactionService,saveTransaction,3,1,1,17
14_Spring-master,com.codefountain.service,TransactionService,getTransactionHistory,3,1,0,21
14_Spring-master,com.codefountain.service,TransactionService,getTransaction,3,1,1,25
14_Spring-master,com.codefountain,SpringBootDockerDemoApplication,main,3,1,1,9
14_Spring-master,com.codefountain,SpringBootDockerDemoApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.infoq.entity,GithubProjectRepository,findByRepoName,0,1,1,9
14_Spring-master,io.codefountain.spring.infoq,SpringBootInfoqDemoApplication,main,3,1,1,9
14_Spring-master,io.codefountain.spring.infoq,SpringBootInfoqDemoApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.todo.controllers,TodoController,index,3,1,0,20
14_Spring-master,io.codefountain.spring.todo.controllers,TodoController,todos,4,1,1,25
14_Spring-master,io.codefountain.spring.todo.controllers,TodoController,add,8,1,3,31
14_Spring-master,io.codefountain.spring.todo.controllers,TodoController,delete,5,1,2,41
14_Spring-master,io.codefountain.spring.todo.controllers,TodoController,update,12,2,2,48
14_Spring-master,io.codefountain.spring.todo.domain,Todo,Todo,5,1,2,24
14_Spring-master,io.codefountain.spring.todo.domain,Todo,Todo,5,1,2,24
14_Spring-master,io.codefountain.spring.todo,SpringBootTodoAppApplication,main,3,1,1,20
14_Spring-master,io.codefountain.spring.todo,SpringBootTodoAppApplication,run,4,1,1,24
14_Spring-master,io.codefountain.spring.todo,SpringBootTodoAppApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.todo,SpringSecurityBasicsTodoAppApplication,main,3,1,1,20
14_Spring-master,io.codefountain.spring.todo,SpringSecurityBasicsTodoAppApplication,run,4,1,1,24
14_Spring-master,io.codefountain.spring.todo,SpringSecurityBasicsTodoAppApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.mvc.court.config,ExceptionResolverConfiguration,configureHandlerExceptionResolvers,3,1,1,18
14_Spring-master,io.codefountain.spring.mvc.court.config,ExceptionResolverConfiguration,handlerExceptionResolver,7,1,0,23
14_Spring-master,io.codefountain.spring.mvc.court.controller,EmployeeController,loadEmployees,9,1,0,19
14_Spring-master,io.codefountain.spring.mvc.court.controller,EmployeeController,viewEmployee,5,1,1,29
14_Spring-master,io.codefountain.spring.mvc.court.controller,ReservationFormController,someRequest,3,1,0,20
14_Spring-master,io.codefountain.spring.mvc.court.controller,ReservationQueryController,setupForm,2,1,0,25
14_Spring-master,io.codefountain.spring.mvc.court.controller,ReservationQueryController,submitForm,8,2,2,28
14_Spring-master,io.codefountain.spring.mvc.court.controller,WelcomeController,welcome,4,1,1,14
14_Spring-master,io.codefountain.spring.mvc.court.domain,Player,Player,4,1,2,8
14_Spring-master,io.codefountain.spring.mvc.court.domain,Player,getName,3,1,0,13
14_Spring-master,io.codefountain.spring.mvc.court.domain,Player,getPhone,3,1,0,17
14_Spring-master,io.codefountain.spring.mvc.court.domain,Player,toString,3,1,0,21
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,Reservation,7,1,5,14
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,getCourtName,3,1,0,22
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,getDate,3,1,0,26
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,getHour,3,1,0,30
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,getPlayer,3,1,0,34
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,getSportType,3,1,0,38
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,toString,3,1,0,42
14_Spring-master,io.codefountain.spring.mvc.court.domain,SportType,SportType,4,1,2,8
14_Spring-master,io.codefountain.spring.mvc.court.domain,SportType,getId,3,1,0,13
14_Spring-master,io.codefountain.spring.mvc.court.domain,SportType,getName,3,1,0,17
14_Spring-master,io.codefountain.spring.mvc.court.domain,SportType,toString,3,1,0,21
14_Spring-master,io.codefountain.spring.mvc.court.exceptions,ReservationNotAvailableException,ReservationNotAvailableException,3,1,1,9
14_Spring-master,io.codefountain.spring.mvc.court.exceptions,ReservationNotAvailableException,getCourtName,3,1,0,13
14_Spring-master,io.codefountain.spring.mvc.court.service,DefaultReservationService,DefaultReservationService,4,1,0,23
14_Spring-master,io.codefountain.spring.mvc.court.service,DefaultReservationService,query,3,1,1,30
14_Spring-master,io.codefountain.spring.mvc.court.service,ReservationService,query,0,1,1,9
14_Spring-master,io.codefountain.spring.mvc,SpringMvcApplication,main,3,1,1,9
14_Spring-master,io.codefountain.spring.mvc,SpringMvcApplicationTests,contextLoads,2,1,0,12
14_Spring-master,io.codefountain.spring.mvc.config,CourtConfiguration,internalResourceViewResolver,6,1,0,12
14_Spring-master,io.codefountain.spring.mvc.config,CourtConfiguration,processingTimeInterceptor,3,1,0,20
14_Spring-master,io.codefountain.spring.mvc.config,CourtConfiguration,memberInterceptor,3,1,0,25
14_Spring-master,io.codefountain.spring.mvc.config,CourtConfiguration,addInterceptors,2,1,1,30
14_Spring-master,io.codefountain.spring.mvc.config,ExceptionHandlerConfig,configureHandlerExceptionResolvers,8,1,1,18
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,internalResourceViewResolver,7,1,0,36
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,resourceBundleViewResolver,4,1,0,47
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,xmlViewResolver,5,1,0,55
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,contentNegotiatingViewResolver,11,1,0,62
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,configureContentNegotiation,7,1,1,79
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,rssFeedView,3,1,0,91
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,mappingJackson2JsonView,3,1,0,96
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,marshallingView,4,1,0,101
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,jaxb2Marshaller,5,1,0,107
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,configureHandlerExceptionResolvers,3,1,1,114
14_Spring-master,io.codefountain.spring.mvc.controllers,ReservationController,setupForm,2,1,0,22
14_Spring-master,io.codefountain.spring.mvc.controllers,ReservationController,processReservationQuery,9,2,1,25
14_Spring-master,io.codefountain.spring.mvc.controllers,WelcomeController,hello,5,1,0,12
14_Spring-master,io.codefountain.spring.mvc.controllers,WelcomeController,handleRequestInternal,5,1,2,11
14_Spring-master,io.codefountain.spring.mvc.controllers,FeatureController,getNewFeature,13,1,1,16
14_Spring-master,io.codefountain.spring.mvc.controllers,MemberController,addForm,2,1,0,25
14_Spring-master,io.codefountain.spring.mvc.controllers,MemberController,add,8,1,3,28
14_Spring-master,io.codefountain.spring.mvc.controllers,MemberController,getMember,9,2,1,41
14_Spring-master,io.codefountain.spring.mvc.controllers,MemberController,handleInvalidMemberId,5,1,1,53
14_Spring-master,io.codefountain.spring.mvc.controllers,ReservationController,setupForm,2,1,0,22
14_Spring-master,io.codefountain.spring.mvc.controllers,ReservationController,processReservationQuery,9,2,1,25
14_Spring-master,io.codefountain.spring.mvc.controllers,ReservationFormController,setupForm,7,1,2,27
14_Spring-master,io.codefountain.spring.mvc.controllers,ReservationFormController,submitForm,5,1,3,37
14_Spring-master,io.codefountain.spring.mvc.controllers,WelcomeController,hello,5,1,0,12
14_Spring-master,io.codefountain.spring.mvc.domain,FeatureList,getListOfFeatures,3,1,0,22
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,getCourtName,3,1,0,19
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,setCourtName,3,1,1,22
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,getDate,3,1,0,25
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,setDate,3,1,1,28
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,getHour,3,1,0,31
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,setHour,3,1,1,34
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,getPlayer,3,1,0,37
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,setPlayer,3,1,1,40
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,getSportType,3,1,0,43
14_Spring-master,io.codefountain.spring.mvc.domain,Reservation,setSportType,3,1,1,46
14_Spring-master,io.codefountain.spring.mvc.main,ApplicationServletContainerInitializer,onStartup,8,1,2,17
14_Spring-master,io.codefountain.spring.mvc.main,ApplicationServletContainerInitializer,getRootConfigClasses,3,1,0,9
14_Spring-master,io.codefountain.spring.mvc.main,ApplicationServletContainerInitializer,getServletConfigClasses,3,1,0,14
14_Spring-master,io.codefountain.spring.mvc.main,ApplicationServletContainerInitializer,getServletMappings,3,1,0,19
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,DefaultReservationService,4,1,0,22
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,query,3,1,1,28
14_Spring-master,io.codefountain.spring.mvc.service,ReservationService,query,0,1,1,9
14_Spring-master,io.codefountain.spring.mvc.service,DefaultMemberService,DefaultMemberService,5,1,0,20
14_Spring-master,io.codefountain.spring.mvc.service,DefaultMemberService,list,3,1,0,25
14_Spring-master,io.codefountain.spring.mvc.service,DefaultMemberService,find,7,2,1,30
14_Spring-master,io.codefountain.spring.mvc.service,DefaultMemberService,add,12,1,1,40
14_Spring-master,io.codefountain.spring.mvc.service,DefaultMemberService,delete,7,2,1,54
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,DefaultReservationService,4,1,0,23
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,query,3,1,1,29
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,addNewReservation,9,2,1,35
14_Spring-master,io.codefountain.spring.mvc.service,MemberService,list,0,1,0,9
14_Spring-master,io.codefountain.spring.mvc.service,MemberService,find,0,1,1,10
14_Spring-master,io.codefountain.spring.mvc.service,MemberService,add,0,1,1,11
14_Spring-master,io.codefountain.spring.mvc.service,MemberService,delete,0,1,1,12
14_Spring-master,io.codefountain.spring.mvc.service,ReservationService,query,0,1,1,10
14_Spring-master,io.codefountain.spring.mvc.service,ReservationService,addNewReservation,0,1,1,11
14_Spring-master,io.codefountain.spring.mvc.beans,Hello,handleRequestInternal,5,1,2,11
14_Spring-master,io.codefountain.spring.mvc.dsi.configuration,SampleConfiguration,internalResourceViewResolver,7,1,0,13
14_Spring-master,io.codefountain.spring.mvc.dsi.controllers,WelcomeController,sayHello,5,1,0,10
14_Spring-master,io.codefountain.spring.mvc.dsi.main,ApplicationServletContainerInitializer,getRootConfigClasses,3,1,0,9
14_Spring-master,io.codefountain.spring.mvc.dsi.main,ApplicationServletContainerInitializer,getServletConfigClasses,3,1,0,14
14_Spring-master,io.codefountain.spring.mvc.dsi.main,ApplicationServletContainerInitializer,getServletMappings,3,1,0,19
