Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
17_QuizSpringProject-master,com.link.quizproject.command,LoginCommand,2,0,4,4,19,4,0,0,0.5,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\LoginCommand.java,8
17_QuizSpringProject-master,com.link.quizproject.command,ProcessQuiz,2,0,5,5,22,5,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\ProcessQuiz.java,12
17_QuizSpringProject-master,com.link.quizproject.command,QuizCommand,3,0,7,7,29,7,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\QuizCommand.java,13
17_QuizSpringProject-master,com.link.quizproject.command,QuizFormCommand,3,0,7,7,29,7,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\QuizFormCommand.java,14
17_QuizSpringProject-master,com.link.quizproject.command,ScoresCommand,5,0,12,12,45,12,0,0,0.16666666666666666,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\ScoresCommand.java,5
17_QuizSpringProject-master,com.link.quizproject.command,ScoresWrapper,2,0,5,5,22,5,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\ScoresWrapper.java,10
17_QuizSpringProject-master,com.link.quizproject.command,UserCommand,4,0,8,8,33,8,0,0,0.5,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\command\UserCommand.java,8
17_QuizSpringProject-master,com.link.quizproject.config,GameAppDispatcherSerlvetInitializer,0,0,4,1,17,4,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\config\GameAppDispatcherSerlvetInitializer.java,11
17_QuizSpringProject-master,com.link.quizproject.config,SpringRootConfig,0,0,1,1,18,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\config\SpringRootConfig.java,9
17_QuizSpringProject-master,com.link.quizproject.config,SpringWebConfig,0,0,2,2,15,2,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\config\SpringWebConfig.java,13
17_QuizSpringProject-master,com.link.quizproject.controller,CreateQuizController,4,0,1,1,36,2,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\controller\CreateQuizController.java,22
17_QuizSpringProject-master,com.link.quizproject.controller,EditDeleteQuizes,3,0,4,4,36,4,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\controller\EditDeleteQuizes.java,26
17_QuizSpringProject-master,com.link.quizproject.controller,EditDeleteUser,2,0,3,3,29,3,0,0,0.6666666666666666,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\controller\EditDeleteUser.java,17
17_QuizSpringProject-master,com.link.quizproject.controller,HighScoresController,2,0,1,1,11,1,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\controller\HighScoresController.java,14
17_QuizSpringProject-master,com.link.quizproject.controller,QuizController,4,0,2,2,28,2,0,0,0.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\controller\QuizController.java,20
17_QuizSpringProject-master,com.link.quizproject.controller,UserController,3,0,9,8,77,12,0,0,0.8888888888888888,0,1,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\controller\UserController.java,29
17_QuizSpringProject-master,com.link.quizproject.dao,AnswerDAO,0,0,1,1,6,1,0,0,-1.0,1,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\AnswerDAO.java,11
17_QuizSpringProject-master,com.link.quizproject.dao,AnswerDAOImpl,0,0,6,6,46,6,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\AnswerDAOImpl.java,20
17_QuizSpringProject-master,com.link.quizproject.dao,BaseDAO,0,0,1,1,8,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\BaseDAO.java,8
17_QuizSpringProject-master,com.link.quizproject.dao,EntityDAO,0,0,5,5,11,5,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\EntityDAO.java,7
17_QuizSpringProject-master,com.link.quizproject.dao,GameDAO,0,0,5,5,10,5,0,0,-1.0,3,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\GameDAO.java,6
17_QuizSpringProject-master,com.link.quizproject.dao,GameDAOImpl,0,0,10,10,86,10,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\GameDAOImpl.java,25
17_QuizSpringProject-master,com.link.quizproject.dao,QuestionDAO,0,0,2,2,7,2,0,0,-1.0,1,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\QuestionDAO.java,12
17_QuizSpringProject-master,com.link.quizproject.dao,QuestionDAOImpl,0,0,7,7,51,7,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\QuestionDAOImpl.java,19
17_QuizSpringProject-master,com.link.quizproject.dao,QuizDAO,0,0,2,2,7,2,0,0,-1.0,1,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\QuizDAO.java,13
17_QuizSpringProject-master,com.link.quizproject.dao,QuizDAOImpl,0,0,7,7,50,7,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\QuizDAOImpl.java,24
17_QuizSpringProject-master,com.link.quizproject.dao,UserAnswerDAOImpl,0,0,5,5,41,5,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\UserAnswerDAOImpl.java,15
17_QuizSpringProject-master,com.link.quizproject.dao,UserDAO,0,0,8,8,13,8,0,0,-1.0,6,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\UserDAO.java,11
17_QuizSpringProject-master,com.link.quizproject.dao,UserDAOImpl,0,0,8,8,53,8,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\dao\UserDAOImpl.java,15
17_QuizSpringProject-master,com.link.quizproject.domain,Answer,3,0,8,8,31,8,0,2,0.25,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\Answer.java,10
17_QuizSpringProject-master,com.link.quizproject.domain,Entity,0,0,2,2,7,2,1,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\Entity.java,8
17_QuizSpringProject-master,com.link.quizproject.domain,EntityImpl,1,0,4,4,17,4,3,1,0.5,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\EntityImpl.java,8
17_QuizSpringProject-master,com.link.quizproject.domain,Game,6,0,17,17,67,17,0,2,0.11764705882352941,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\Game.java,9
17_QuizSpringProject-master,com.link.quizproject.domain,Question,5,0,17,17,64,17,0,0,0.11764705882352941,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\Question.java,11
17_QuizSpringProject-master,com.link.quizproject.domain,Quiz,6,0,18,18,64,18,0,0,0.1111111111111111,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\Quiz.java,12
17_QuizSpringProject-master,com.link.quizproject.domain,User,5,0,15,15,59,15,0,0,0.13333333333333333,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\User.java,7
17_QuizSpringProject-master,com.link.quizproject.domain,UserAnswer,3,0,7,7,28,7,0,2,0.5714285714285714,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\domain\UserAnswer.java,10
17_QuizSpringProject-master,com.link.quizproject.rm,AnswerRowMapper,0,0,1,1,13,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\rm\AnswerRowMapper.java,13
17_QuizSpringProject-master,com.link.quizproject.rm,GameRowMapper,0,0,1,1,15,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\rm\GameRowMapper.java,13
17_QuizSpringProject-master,com.link.quizproject.rm,QuestionRowMapper,0,0,1,1,13,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\rm\QuestionRowMapper.java,13
17_QuizSpringProject-master,com.link.quizproject.rm,QuizRowMapper,0,0,1,1,14,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\rm\QuizRowMapper.java,14
17_QuizSpringProject-master,com.link.quizproject.rm,ScoresRowMapper,0,0,1,1,14,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\rm\ScoresRowMapper.java,13
17_QuizSpringProject-master,com.link.quizproject.rm,UserAnswersRowMapper,0,0,1,1,13,1,0,0,-1.0,0,0,C:\17_QuizSpringProject-master\src\main\java\com\link\quizproject\rm\UserAnswersRowMapper.java,13
