Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
28_Library-Management-System-master,lk.ijse.dep.lms.business,SuperBO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManageAuthorBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManageAuthor_BookBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManageBooksBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManageBorrowBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManageMemberBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManagePublisherBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManagePublisher_BookBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.business.custom.impl,ManageReturnsBOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.controller,DashboardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.controller,ManageAuthorController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: btnNew; imgHome; txtAuthorID; txtAuthorName; txtAuthorEmail; btnSave; btnDelete; tblAuthor; root; manageAuthorBO
28_Library-Management-System-master,lk.ijse.dep.lms.controller,ManageAuthor_BookController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.controller,ManageMemberController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.controller,ManagePublisherController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.controller,ManageReturnController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.dao,CrudDAO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.dao.custom.impl,AuthorDAOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.dao.custom.impl,Author_BookDAOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.dao.custom.impl,BooksDAOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.dao.custom.impl,BorrowDAOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
28_Library-Management-System-master,lk.ijse.dep.lms.dao.custom.impl,MemberDAOImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
