Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
33_HealthBox-master,project.healthbox.aop,ConsultationAspect,trackSave,2,1,0,19
33_HealthBox-master,project.healthbox.aop,ConsultationAspect,loggingAfterReturning,6,1,2,22
33_HealthBox-master,project.healthbox.config,ApplicationBeanConfiguration,modelMapper,3,1,0,13
33_HealthBox-master,project.healthbox.config,ApplicationBeanConfiguration,bCryptPasswordEncoder,3,1,0,18
33_HealthBox-master,project.healthbox.config,ApplicationBeanConfiguration,gson,3,1,0,23
33_HealthBox-master,project.healthbox.config,ApplicationCloudConfiguration,cloudinary,10,1,0,20
33_HealthBox-master,project.healthbox.config,ApplicationSecurityConfiguration,configure,3,1,1,23
33_HealthBox-master,project.healthbox.config,ApplicationSecurityConfiguration,configure,3,1,1,29
33_HealthBox-master,project.healthbox.config,ApplicationWebConfiguration,ApplicationWebConfiguration,4,1,2,15
33_HealthBox-master,project.healthbox.config,ApplicationWebConfiguration,addInterceptors,4,1,1,21
33_HealthBox-master,project.healthbox.domain.entities,City,City,3,1,1,27
33_HealthBox-master,project.healthbox.domain.entities,Doctor,getAuthorities,3,1,0,66
33_HealthBox-master,project.healthbox.domain.entities,Doctor,getUsername,3,1,0,71
33_HealthBox-master,project.healthbox.domain.entities,Doctor,isAccountNonExpired,3,1,0,76
33_HealthBox-master,project.healthbox.domain.entities,Doctor,isAccountNonLocked,3,1,0,81
33_HealthBox-master,project.healthbox.domain.entities,Doctor,isCredentialsNonExpired,3,1,0,86
33_HealthBox-master,project.healthbox.domain.entities,Doctor,isEnabled,3,1,0,91
33_HealthBox-master,project.healthbox.domain.entities,Role,Role,3,1,1,30
33_HealthBox-master,project.healthbox.domain.entities,Specialty,Specialty,3,1,1,27
33_HealthBox-master,project.healthbox.domain.entities,User,getAuthorities,3,1,0,52
33_HealthBox-master,project.healthbox.domain.entities,User,getUsername,3,1,0,57
33_HealthBox-master,project.healthbox.domain.entities,User,isAccountNonExpired,3,1,0,62
33_HealthBox-master,project.healthbox.domain.entities,User,isAccountNonLocked,3,1,0,67
33_HealthBox-master,project.healthbox.domain.entities,User,isCredentialsNonExpired,3,1,0,72
33_HealthBox-master,project.healthbox.domain.entities,User,isEnabled,3,1,0,77
33_HealthBox-master,project.healthbox.error,ObjectAlreadyExistsException,ObjectAlreadyExistsException,3,1,1,8
33_HealthBox-master,project.healthbox.error,ObjectNotFoundException,ObjectNotFoundException,3,1,1,8
33_HealthBox-master,project.healthbox.events.register,DoctorRegisterEvent,DoctorRegisterEvent,8,1,5,16
33_HealthBox-master,project.healthbox.events.register,DoctorRegisterEvent,toString,3,1,0,25
33_HealthBox-master,project.healthbox.events.register,RegisterEventListener,onUserRegisterEvent,3,1,1,15
33_HealthBox-master,project.healthbox.events.register,RegisterEventListener,onDoctorRegisterEvent,3,1,1,20
33_HealthBox-master,project.healthbox.events.register,RegisterEventPublisher,publishUserRegisterEvent,4,1,1,18
33_HealthBox-master,project.healthbox.events.register,RegisterEventPublisher,publishDoctorRegisterEvent,4,1,1,27
33_HealthBox-master,project.healthbox.events.register,UserRegisterEvent,UserRegisterEvent,6,1,3,14
33_HealthBox-master,project.healthbox.events.register,UserRegisterEvent,toString,3,1,0,21
33_HealthBox-master,project.healthbox,HealthboxApplication,main,3,1,1,10
33_HealthBox-master,project.healthbox,HealthboxApplicationTests,contextLoads,2,1,0,9
33_HealthBox-master,project.healthbox.init,ApplicationDataInitialization,run,6,1,1,20
33_HealthBox-master,project.healthbox.log.formatter,LogFormatter,format,3,1,1,8
33_HealthBox-master,project.healthbox.repostory,CityRepository,findByName,0,1,1,11
33_HealthBox-master,project.healthbox.repostory,DoctorRepository,findByEmail,0,1,1,14
33_HealthBox-master,project.healthbox.repostory,DoctorRepository,existsByEmail,0,1,1,16
33_HealthBox-master,project.healthbox.repostory,DoctorRepository,findAllDoctorsByGivenCriteria,0,1,4,18
33_HealthBox-master,project.healthbox.repostory,RoleRepository,findByAuthority,0,1,1,11
33_HealthBox-master,project.healthbox.repostory,SpecialtyRepository,findByName,0,1,1,11
33_HealthBox-master,project.healthbox.repostory,UserRepository,findByEmail,0,1,1,11
33_HealthBox-master,project.healthbox.repostory,UserRepository,existsByEmail,0,1,1,13
33_HealthBox-master,project.healthbox.schedule,LogClearScheduler,clearRegistrationLogEverySixMonths,3,1,0,11
33_HealthBox-master,project.healthbox.schedule,LogClearScheduler,clearConsultationLogEverySixMonths,3,1,0,16
33_HealthBox-master,project.healthbox.service,AnswerService,save,0,1,1,6
33_HealthBox-master,project.healthbox.service,AuthenticatedUserService,getUsername,0,1,0,6
33_HealthBox-master,project.healthbox.service,AuthenticatedUserService,getRoles,0,1,0,8
33_HealthBox-master,project.healthbox.service,CityService,getByName,0,1,1,8
33_HealthBox-master,project.healthbox.service,CityService,getAll,0,1,0,10
33_HealthBox-master,project.healthbox.service,CityService,getById,0,1,1,12
33_HealthBox-master,project.healthbox.service,CityService,deleteCity,0,1,1,14
33_HealthBox-master,project.healthbox.service,CityService,createCity,0,1,1,16
33_HealthBox-master,project.healthbox.service,CityService,seedCities,0,1,0,18
33_HealthBox-master,project.healthbox.service,CloudinaryService,uploadImage,0,1,1,8
33_HealthBox-master,project.healthbox.service,ConsultationService,save,0,1,3,9
33_HealthBox-master,project.healthbox.service,ConsultationService,getById,0,1,1,11
33_HealthBox-master,project.healthbox.service,ConsultationService,setAnswer,0,1,2,13
33_HealthBox-master,project.healthbox.service,DoctorService,completeProfile,0,1,1,10
33_HealthBox-master,project.healthbox.service,DoctorService,getById,0,1,1,12
33_HealthBox-master,project.healthbox.service,DoctorService,getByEmail,0,1,1,14
33_HealthBox-master,project.healthbox.service,DoctorService,getAll,0,1,0,16
33_HealthBox-master,project.healthbox.service,DoctorService,deleteDoctor,0,1,1,18
33_HealthBox-master,project.healthbox.service,DoctorService,getAllByGivenCriteria,0,1,4,20
33_HealthBox-master,project.healthbox.service,DoctorService,isAccountCompleted,0,1,1,22
33_HealthBox-master,project.healthbox.service,LoggerService,log,0,1,1,6
33_HealthBox-master,project.healthbox.service,RoleService,seedRoles,0,1,0,9
33_HealthBox-master,project.healthbox.service,RoleService,getByAuthority,0,1,1,11
33_HealthBox-master,project.healthbox.service,RoleService,getRolesForRootUser,0,1,0,13
33_HealthBox-master,project.healthbox.service,SpecialtyService,getAll,0,1,0,8
33_HealthBox-master,project.healthbox.service,SpecialtyService,getByName,0,1,1,10
33_HealthBox-master,project.healthbox.service,SpecialtyService,getById,0,1,1,12
33_HealthBox-master,project.healthbox.service,SpecialtyService,deleteSpecialty,0,1,1,14
33_HealthBox-master,project.healthbox.service,SpecialtyService,createSpecialty,0,1,1,16
33_HealthBox-master,project.healthbox.service,SpecialtyService,seedSpecialties,0,1,0,18
33_HealthBox-master,project.healthbox.service,UserService,register,0,1,2,9
33_HealthBox-master,project.healthbox.service,UserService,getByEmail,0,1,1,11
33_HealthBox-master,project.healthbox.service,UserService,getById,0,1,1,13
33_HealthBox-master,project.healthbox.service,UserService,getAll,0,1,0,15
33_HealthBox-master,project.healthbox.service,UserService,deleteUser,0,1,1,17
33_HealthBox-master,project.healthbox.service,UserService,makeAdmin,0,1,1,19
33_HealthBox-master,project.healthbox.service,UserService,makeUser,0,1,1,21
33_HealthBox-master,project.healthbox.service,UserService,seedRootUser,0,1,0,23
33_HealthBox-master,project.healthbox.service.impl,AnswerServiceImpl,save,3,1,1,17
33_HealthBox-master,project.healthbox.service.impl,AuthenticatedUserServiceImpl,getUsername,4,1,0,14
33_HealthBox-master,project.healthbox.service.impl,AuthenticatedUserServiceImpl,getRoles,3,1,0,20
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,CityServiceImpl,6,1,4,29
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,seedCities,11,2,0,36
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,getByName,3,1,1,51
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,getAll,3,1,0,58
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,getById,3,1,1,65
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,deleteCity,4,1,1,72
33_HealthBox-master,project.healthbox.service.impl,CityServiceImpl,createCity,6,2,1,79
33_HealthBox-master,project.healthbox.service.impl,CloudinaryServiceImpl,uploadImage,5,1,1,18
33_HealthBox-master,project.healthbox.service.impl,ConsultationServiceImpl,save,5,1,3,22
33_HealthBox-master,project.healthbox.service.impl,ConsultationServiceImpl,setAnswer,6,1,2,30
33_HealthBox-master,project.healthbox.service.impl,ConsultationServiceImpl,getById,4,1,1,38
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,completeProfile,13,1,1,33
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,getAll,3,1,0,54
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,deleteDoctor,5,1,1,61
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,getAllByGivenCriteria,3,1,4,70
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,isAccountCompleted,3,1,1,77
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,getById,4,1,1,87
33_HealthBox-master,project.healthbox.service.impl,DoctorServiceImpl,getByEmail,3,1,1,94
33_HealthBox-master,project.healthbox.service.impl,LoggerServiceImpl,log,15,1,1,16
33_HealthBox-master,project.healthbox.service.impl,RoleServiceImpl,seedRoles,8,2,0,21
33_HealthBox-master,project.healthbox.service.impl,RoleServiceImpl,getByAuthority,3,1,1,31
33_HealthBox-master,project.healthbox.service.impl,RoleServiceImpl,getRolesForRootUser,3,1,0,38
33_HealthBox-master,project.healthbox.service.impl,SpecialtyServiceImpl,SpecialtyServiceImpl,6,1,4,29
33_HealthBox-master,project.healthbox.service.impl,SpecialtyServiceImpl,seedSpecialties,11,2,0,36
33_HealthBox-master,project.healthbox.service.impl,SpecialtyServiceImpl,getAll,3,1,0,51
33_HealthBox-master,project.healthbox.service.impl,SpecialtyServiceImpl,getByName,3,1,1,58
33_HealthBox-master,project.healthbox.service.impl,SpecialtyServiceImpl,getById,3,1,1,65
