Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,main,4,1,1,33
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,TestDaoGenerator,19,1,0,42
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,generate,5,1,0,64
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createSimple,14,1,0,70
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createSimpleNotNull,13,1,0,86
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createTest,13,1,0,100
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createRelation,12,1,0,114
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createToMany,24,1,0,127
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createTreeEntity,7,1,0,158
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createDate,6,1,0,166
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createSpecialNames,13,1,0,173
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createAbcdef,15,1,0,187
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createActive,6,1,0,203
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createExtendsImplements,8,1,0,210
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createSchema2,27,1,0,219
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createStringKeyValue,5,1,0,251
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createAutoincrement,4,1,0,257
androidone-master,de.greenrobot.daogenerator.gentest,TestDaoGenerator,createSqliteMaster,10,1,0,262
androidone-master,de.greenrobot.daogenerator.test,SimpleDaoGeneratorTest,testMinimalSchema,15,1,0,36
androidone-master,de.greenrobot.daogenerator.test,SimpleDaoGeneratorTest,testDbName,7,1,0,56
androidone-master,gentest,quLoveDaoGenerator,main,9,1,1,31
androidone-master,gentest,quLoveDaoGenerator,addCustomer,7,1,1,51
androidone-master,gentest,quLoveDaoGenerator,addAddress,13,1,1,63
androidone-master,gentest,quLoveDaoGenerator,addPurchase,14,1,1,81
androidone-master,gentest,quLoveDaoGenerator,addProduct,9,1,1,100
androidone-master,gentest,quLoveDaoGenerator,addOrder,10,1,1,114
androidone-master,gentest,LianrenDaoGenerator,main,6,1,1,31
androidone-master,gentest,LianrenDaoGenerator,addFriend,6,1,1,45
androidone-master,gentest,LianrenDaoGenerator,addNotice,7,1,1,55
androidone-master,gentest,ExampleDaoGenerator,main,7,1,1,33
androidone-master,gentest,ExampleDaoGenerator,addNote,6,1,1,50
androidone-master,gentest,ExampleDaoGenerator,addChannel,10,1,1,60
androidone-master,gentest,ExampleDaoGenerator,addChannelItem,14,1,1,74
androidone-master,gentest,ExampleDaoGenerator,addCustomerOrder,14,1,1,92
androidone-master,gentest,O2MallDaoGenerator,main,5,1,1,31
androidone-master,gentest,O2MallDaoGenerator,addNote,19,1,1,42
androidone-master,de.greenrobot.daogenerator,ContentProvider,ContentProvider,4,1,2,14
androidone-master,de.greenrobot.daogenerator,ContentProvider,getAuthority,3,1,0,19
androidone-master,de.greenrobot.daogenerator,ContentProvider,setAuthority,3,1,1,23
androidone-master,de.greenrobot.daogenerator,ContentProvider,getBasePath,3,1,0,27
androidone-master,de.greenrobot.daogenerator,ContentProvider,setBasePath,3,1,1,31
androidone-master,de.greenrobot.daogenerator,ContentProvider,getClassName,3,1,0,35
androidone-master,de.greenrobot.daogenerator,ContentProvider,setClassName,3,1,1,39
androidone-master,de.greenrobot.daogenerator,ContentProvider,getJavaPackage,3,1,0,43
androidone-master,de.greenrobot.daogenerator,ContentProvider,setJavaPackage,3,1,1,47
