Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,BuildConfig,1,1,0,0,3,0,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\BuildConfig.java,4
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,R,8,8,0,0,29,0,0,0,-1.0,3,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\R.java,10
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,attr,0,0,0,0,2,0,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\R.java,11
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,drawable,1,1,0,0,3,0,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\R.java,13
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,id,1,1,0,0,3,0,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\R.java,16
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,layout,1,1,0,0,3,0,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\R.java,19
CodeSmells-in-application-MVC-3,com.android_mvc.nakisousou,string,5,5,0,0,16,0,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\gen\com\android_mvc\nakisousou\R.java,22
CodeSmells-in-application-MVC-3,com.android_mvc.framework.activities.base,BaseMapActivity,2,0,10,9,40,10,0,0,0.8,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\activities\base\BaseMapActivity.java,16
CodeSmells-in-application-MVC-3,com.android_mvc.framework.activities.base,BaseNormalActivity,2,0,9,9,37,9,0,0,0.7777777777777778,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\activities\base\BaseNormalActivity.java,15
CodeSmells-in-application-MVC-3,com.android_mvc.framework.activities.base,BaseTabHostActivity,2,0,9,9,37,9,0,0,0.7777777777777778,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\activities\base\BaseTabHostActivity.java,16
CodeSmells-in-application-MVC-3,com.android_mvc.framework.activities,CommonActivityUtil,6,0,17,11,176,30,0,0,0.0,0,3,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\activities\CommonActivityUtil.java,22
CodeSmells-in-application-MVC-3,com.android_mvc.framework.activities,IBaseActivity,0,0,7,7,34,7,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\activities\IBaseActivity.java,8
CodeSmells-in-application-MVC-3,com.android_mvc.framework.activities.installation,InstallAppFWBaseActivity,1,0,14,1,108,17,0,0,0.7857142857142857,0,1,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\activities\installation\InstallAppFWBaseActivity.java,16
CodeSmells-in-application-MVC-3,com.android_mvc.framework.bat,BaseOnBootReceiver,1,0,4,2,28,5,0,0,0.0,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\bat\BaseOnBootReceiver.java,8
CodeSmells-in-application-MVC-3,com.android_mvc.framework.bat,BasePeriodicService,3,0,12,6,92,14,0,0,0.5,0,1,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\bat\BasePeriodicService.java,16
CodeSmells-in-application-MVC-3,com.android_mvc.framework.common,AbstractAppSettings,7,0,9,8,65,9,0,0,0.8888888888888888,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\common\AbstractAppSettings.java,6
CodeSmells-in-application-MVC-3,com.android_mvc.framework.common,BaseUtil,7,0,20,14,172,23,1,0,0.15,5,1,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\common\BaseUtil.java,8
CodeSmells-in-application-MVC-3,com.android_mvc.framework.common,DateTimeUtil,0,0,2,2,27,2,0,0,-1.0,2,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\common\DateTimeUtil.java,8
CodeSmells-in-application-MVC-3,com.android_mvc.framework.common,FWUtil,0,0,1,1,18,1,0,0,-1.0,26,2,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\common\FWUtil.java,6
CodeSmells-in-application-MVC-3,com.android_mvc.framework.controller.action,ActionResult,3,0,6,6,43,6,0,1,0.5,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\controller\action\ActionResult.java,9
CodeSmells-in-application-MVC-3,com.android_mvc.framework.controller.action,BaseAction,0,0,1,1,10,1,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\controller\action\BaseAction.java,3
CodeSmells-in-application-MVC-3,com.android_mvc.framework.controller.action,BLExecutor,1,1,2,2,16,2,0,0,0.0,1,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\controller\action\BLExecutor.java,4
CodeSmells-in-application-MVC-3,com.android_mvc.framework.controller,BaseController,2,0,0,0,8,0,1,0,-1.0,0,0,C:\CodeSmells-in-application-MVC-3\src\com\android_mvc\framework\controller\BaseController.java,8
