Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
mvp55_EasyMVP-master,easymvp,AbstractPresenter,onViewAttached,3,1,1,15
mvp55_EasyMVP-master,easymvp,AbstractPresenter,onViewDetached,3,2,0,20
mvp55_EasyMVP-master,easymvp,AbstractPresenter,onDestroyed,3,1,0,25
mvp55_EasyMVP-master,easymvp,AbstractPresenter,getView,3,1,0,30
mvp55_EasyMVP-master,easymvp,AbstractPresenter,isViewAttached,3,1,0,36
mvp55_EasyMVP-master,easymvp,Presenter,onViewAttached,0,1,1,21
mvp55_EasyMVP-master,easymvp,Presenter,onViewDetached,0,1,0,30
mvp55_EasyMVP-master,easymvp,Presenter,onDestroyed,0,1,0,38
mvp55_EasyMVP-master,easymvp,Presenter,isViewAttached,0,1,0,45
mvp55_EasyMVP-master,easymvp,Presenter,getView,0,1,0,50
mvp55_EasyMVP-master,easymvp,RxPresenter,onDestroyed,4,1,0,16
mvp55_EasyMVP-master,easymvp,RxPresenter,addSubscription,3,1,1,22
mvp55_EasyMVP-master,easymvp,RxPresenter,removeSubscription,3,1,1,26
mvp55_EasyMVP-master,easymvp,RxPresenter,onDestroyed,4,1,0,12
mvp55_EasyMVP-master,easymvp,RxPresenter,addSubscription,3,1,1,18
mvp55_EasyMVP-master,easymvp,RxPresenter,removeSubscription,3,1,1,22
mvp55_EasyMVP-master,easymvp.internal,ViewDelegate,initialize,0,1,2,30
mvp55_EasyMVP-master,easymvp.internal,ViewDelegate,initialize,0,1,1,32
mvp55_EasyMVP-master,easymvp.internal,ViewDelegate,attachView,0,1,1,34
mvp55_EasyMVP-master,easymvp.internal,ViewDelegate,detachView,0,1,0,36
mvp55_EasyMVP-master,easymvp.internal,ViewDelegate,destroy,0,1,1,38
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,init,7,1,1,87
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getSupportedAnnotationTypes,9,1,0,96
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,process,8,2,2,107
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,generatePresenterLoaders,12,3,0,117
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,write,8,1,1,132
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,makeDelegates,22,7,1,141
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parseActivityView,32,5,2,168
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parseFragmentView,31,5,2,205
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parseCustomView,24,4,2,241
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parseConductorController,24,4,2,271
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parsePresenterInjection,17,4,2,298
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parsePresenterId,26,6,2,320
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,parsePresenter,6,1,2,350
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,findViewTypeOfPresenter,14,5,1,358
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getSuperClass,5,2,1,375
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getDelegate,11,2,2,381
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getSimpleClassName,3,1,1,396
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getClassName,3,1,1,400
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getPackageName,3,1,1,404
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getTypeElement,3,1,1,408
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getTypeElement,4,1,1,412
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,classNameToCanonicalName,6,1,1,417
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,join,9,3,2,429
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,error,3,1,2,439
mvp55_EasyMVP-master,easymvp.compiler,EasyMVPProcessor,getSupportedSourceVersion,3,1,0,443
mvp55_EasyMVP-master,easymvp.compiler,Validator,isClass,3,1,1,34
mvp55_EasyMVP-master,easymvp.compiler,Validator,isAbstractClass,3,1,1,38
mvp55_EasyMVP-master,easymvp.compiler,Validator,isNotAbstractClass,3,1,1,42
mvp55_EasyMVP-master,easymvp.compiler,Validator,isSubType,3,1,3,46
mvp55_EasyMVP-master,easymvp.compiler,Validator,isPrivate,3,1,1,52
mvp55_EasyMVP-master,easymvp.compiler,Validator,isMethod,3,1,1,56
mvp55_EasyMVP-master,easymvp.compiler,Validator,getTypeElement,3,1,2,60
mvp55_EasyMVP-master,easymvp.compiler,Validator,getModifiers,3,1,1,64
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getLoader,3,1,1,14
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getLoader,3,1,1,18
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getLoader,3,1,0,22
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getSupportLoader,3,1,0,26
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getLoaderManager,3,1,0,30
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getSupportLoaderManager,3,1,0,34
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getLoaderCallbacks,3,1,0,38
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getSupportLoaderCallbacks,3,1,0,42
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getPresenterLoader,3,1,0,46
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getSupportPresenterLoader,3,1,0,50
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getLoaderCallbacks,3,1,1,54
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getPresenterLoader,3,1,1,58
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,getPresenterLoader,3,1,1,62
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,get,11,4,3,66
mvp55_EasyMVP-master,easymvp.compiler.generator,AndroidLoaderUtils,get,8,2,3,79
mvp55_EasyMVP-master,easymvp.compiler.generator,ClassGenerator,ClassGenerator,5,1,2,14
mvp55_EasyMVP-master,easymvp.compiler.generator,ClassGenerator,build,0,1,0,20
mvp55_EasyMVP-master,easymvp.compiler.generator,ClassGenerator,getPackageName,3,1,0,22
mvp55_EasyMVP-master,easymvp.compiler.generator,ClassGenerator,getName,3,1,0,26
mvp55_EasyMVP-master,easymvp.compiler.generator,ClassGenerator,getClassName,3,1,0,30
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getPresenterId,3,1,0,60
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,DelegateClassGenerator,4,1,3,64
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getViewClass,3,1,0,69
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getPresenterViewQualifiedName,3,1,0,73
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setPresenterViewQualifiedName,3,1,1,77
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setViewType,23,7,1,81
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setResourceID,3,1,1,105
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setPresenter,3,1,1,109
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setViewPresenterField,3,1,1,113
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,build,5,1,0,117
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,injectablePresenterInView,3,1,1,130
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getPresenterFactoryTypeName,3,1,0,134
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getPresenterClass,3,1,0,138
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,isInjectablePresenterInView,3,1,0,142
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getPresenterTypeInView,3,1,0,146
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setPresenterTypeInView,3,1,1,150
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getPresenterFieldNameInView,3,1,0,154
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,getResourceID,3,1,0,158
mvp55_EasyMVP-master,easymvp.compiler.generator,DelegateClassGenerator,setPresenterId,3,1,1,162
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,PresenterLoaderGenerator,4,1,1,37
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,build,7,1,0,43
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,addConstructor,3,1,1,57
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,addFields,4,1,1,69
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,addMethods,3,1,1,79
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,getOnStartLoadingMethod,5,1,0,85
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,getOnForceLoadMethod,6,1,0,96
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,getOnResetMethod,8,1,0,104
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,getDefaultMethod,3,1,1,113
mvp55_EasyMVP-master,easymvp.compiler.generator,PresenterLoaderGenerator,callPresenterPreDestroy,3,1,1,120
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,ActivityDecorator,3,1,1,20
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,getLoaderManagerMethod,3,1,1,24
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,createContextField,3,1,1,31
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,implementInitializer,7,2,1,36
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,getPresenterLoaderClass,3,1,0,49
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,getLoaderCallbacksClass,3,1,0,54
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ActivityDecorator,getLoaderClass,3,1,0,59
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,BaseDecorator,3,1,1,39
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getLoaderManagerMethod,0,1,1,43
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,createContextField,0,1,1,48
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,build,5,1,1,50
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,addFields,4,1,1,56
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,addMethods,3,1,1,66
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,addInnerClasses,6,2,1,75
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getInitializeMethod,11,2,0,82
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getInitializeMethodWithFactory,12,2,0,98
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,initLoader,13,2,2,116
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,implementInitializer,0,1,1,131
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getAttachViewMethod,5,1,0,133
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getDetachViewMethod,5,1,0,144
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getDestroyMethod,5,1,0,152
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,addStatementInOnDestroyMethod,3,1,0,161
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,callPresenterAttachView,3,1,3,165
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,callPresenterDetachView,3,1,1,171
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getLoaderMethodSignature,3,1,0,175
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getPresenterFactoryClass,3,1,1,181
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,presenterFactoryTypeName,3,1,0,195
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getPresenterLoaderCallbacks,20,3,0,199
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getPresenterLoaderClass,0,1,0,271
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getCallbacksMethod,3,1,1,273
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getLoaderCallbacksClass,0,1,0,279
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getLoaderClass,0,1,0,281
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,BaseDecorator,getOnLoaderResetMethod,3,1,1,283
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,ConductorControllerDecorator,3,1,1,18
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,getLoaderManagerMethod,3,1,1,22
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,createContextField,3,1,1,29
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,implementInitializer,2,1,1,34
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,addStatementInOnDestroyMethod,3,1,0,39
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,getPresenterLoaderClass,3,1,0,45
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,getLoaderCallbacksClass,3,1,0,50
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,ConductorControllerDecorator,getLoaderClass,3,1,0,55
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,CustomViewDecorator,3,1,1,26
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,addMethods,4,1,1,30
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,getLoaderManagerMethod,3,1,1,48
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,createContextField,3,1,1,56
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,implementInitializer,2,1,1,61
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,getPresenterLoaderClass,3,1,0,66
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,getLoaderCallbacksClass,3,1,0,71
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,getLoaderClass,3,1,0,76
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,CustomViewDecorator,getOnLoaderResetMethod,3,1,1,81
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,FragmentDecorator,FragmentDecorator,3,1,1,18
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,FragmentDecorator,getLoaderManagerMethod,3,1,1,22
mvp55_EasyMVP-master,easymvp.compiler.generator.decorator,FragmentDecorator,createContextField,3,1,1,29
