Project Name,Package Name,Architecture Smell,Cause of the Smell
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.search_fragment
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MainActivityTest; ProductRepository; ProductRepositoryImpl; ProductRepositoryTest]; [CategoryRepository; CategoryRepositoryImpl]. LCC (Lack of Component Cohesion) = 0.33
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.search_fragment; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppTestComponent; AppComponent]; [RetrofitTestModule]; [ApplicationModule]; [GreenDaoModule]; [RetrofitModule]. LCC (Lack of Component Cohesion) = 0.83
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.search_fragment; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.ui.product_details
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MainActivityTestRepoComponent; ProductRepositoryComponent; ProductRepositoryTestComponent]; [MainActivityTestRepoModule]; [UserRepositoryTestModule]; [CategoryRepositoryComponent]; [CategoryRepositoryModule]; [ProductRepositoryModule]. LCC (Lack of Component Cohesion) = 0.75
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.app; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.di.data; com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.data
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.segeyburlaka.test.jellyworkz.mydaggermvprxtest
mvp1010_Android-Etsyclient-Mvp-Moxy-UnitTesting,com.segeyburlaka.test.jellyworkz.mydaggermvprxtest.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RecyclerViewMatcher; RecyclerViewTestUtil; ActionOnItemViewAtPositionViewAction; ScrollToPositionViewAction]; [RxJavaResetRule; AndroidSchedulerHook; SchedulerHook]; [TestUtils]; [ActivityUtils]; [CurrencyUtils]; [GlideUtils]; [ImageUtil]; [JacksonUtil]; [NetworkUtil]; [ParseResUtil]; [RxUtils]; [SearchStringUtil]; [TextDrawUtil]; [TextUtil]. LCC (Lack of Component Cohesion) = 0.74
