Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mvp33_Moxy-master,com.arellomobile.mvp,DefaultViewState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mvp33_Moxy-master,com.arellomobile.mvp,MvpDelegate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: KEY_TAG; MOXY_DELEGATE_TAGS_KEY; mKeyTag; mDelegateTag; mDelegated; mIsAttached; mParentDelegate; mPresenters; mChildDelegates; mBundle
mvp33_Moxy-master,com.arellomobile.mvp,MvpFacade,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MvpProcessor; MvpFacade
mvp33_Moxy-master,com.arellomobile.mvp,MvpPresenter,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MvpPresenter; Binder
mvp33_Moxy-master,com.arellomobile.mvp,MvpProcessor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PRESENTER_BINDER_SUFFIX; PRESENTER_BINDER_INNER_SUFFIX; VIEW_STATE_SUFFIX; VIEW_STATE_PROVIDER_SUFFIX; hasMoxyReflector
mvp33_Moxy-master,com.arellomobile.mvp,Pair,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: first; second
mvp33_Moxy-master,com.arellomobile.mvp,MvpActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mvp33_Moxy-master,com.arellomobile.mvp,MvpApplication,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mvp33_Moxy-master,com.arellomobile.mvp,MvpApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mvp33_Moxy-master,com.arellomobile.mvp,MvpDialogFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
