Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mvp33_Moxy-master,com.arellomobile.mvp,MvpDelegate,generateTag,Long Statement,The length of the statement "tag+=mDelegated.getClass().getSimpleName() + "$" + getClass().getSimpleName()+ toString().replace(getClass().getName()`"");" is 123.,259
mvp33_Moxy-master,com.arellomobile.mvp,MvpDialogFragment,onDestroy,Magic Number,The method contains a magic number: 17,58
mvp33_Moxy-master,com.arellomobile.mvp,MvpFragment,onDestroy,Magic Number,The method contains a magic number: 17,68
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,getThat,Long Statement,The length of the statement "return Truth.assert_().about(JavaSourcesSubjectFactory.javaSources()).that(Arrays.asList(target)).processedWith(processors);" is 124.,66
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertCompilationResultIs,Complex Method,Cyclomatic complexity of the method is 9,90
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertCompilationResultIs,Long Statement,The length of the statement "List<String> options=ImmutableList.of("-sourcepath"`tmpDir.getPath()`"-d"`tmpDir.getPath()`"-processor"`processor.getName()`"-Xlint");" is 134.,90
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertCompilationResultIs,Long Statement,The length of the statement "JavaFileObject sourceFile=fileManager.getJavaFileForInput(StandardLocation.SOURCE_PATH`className.fullName()`JavaFileObject.Kind.SOURCE);" is 136.,90
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertCompilationResultIs,Long Statement,The length of the statement "JavaCompiler.CompilationTask javacTask=javac.getTask(compilerOut`fileManager`diagnosticCollector`options`classNames`sourceFiles);" is 129.,90
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertCompilationResultIs,Long Statement,The length of the statement "boolean ignore=(diagnostic.getKind() == Diagnostic.Kind.NOTE || (diagnostic.getKind() == Diagnostic.Kind.WARNING && diagnostic.getMessage(null).contains("No processor claimed any of these annotations")));" is 204.,90
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ErrorProcessor,process,Long Statement,The length of the statement "ImmutableList<String> of=ImmutableList.of("mPresenterIdLocalPresenter"`"mTagLocalPresenter"`"mFactoryLocalPresenter"`"mFactoryTagPresenter");" is 141.,30
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateClassTest,viewStateForClassView_throw,Long Statement,The length of the statement "getThat(JavaFileObjects.forResource("view/CounterTestView.java")`JavaFileObjects.forResource("presenter/InjectViewStateForClassPresenter.java")).failsToCompile();" is 162.,26
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateClassTest,positiveViewState,Long Statement,The length of the statement "assertCompilationResultIs(ImmutableTable.<Diagnostic.Kind`Integer`Pattern>of()`ImmutableList.of(getString("com/arellomobile/mvp/view/PositiveViewStateView$$State.java")));" is 171.,36
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateProviderClassTest,positiveViewStateProvider,Long Statement,The length of the statement "assertCompilationResultIs(ImmutableTable.<Diagnostic.Kind`Integer`Pattern>of()`ImmutableList.of(getString("com/arellomobile/mvp/presenter/PositiveViewStateProviderPresenter$$ViewStateProvider.java")));" is 201.,23
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,getSupportedAnnotationTypes,Long Statement,The length of the statement "Collections.addAll(supportedAnnotationTypes`InjectPresenter.class.getCanonicalName()`InjectViewState.class.getCanonicalName()`RegisterMoxyReflectorPackages.class.getCanonicalName()`GenerateViewState.class.getCanonicalName());" is 225.,88
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,process,Long Statement,The length of the statement "getMessager().printMessage(Diagnostic.Kind.OTHER`"Moxy compilation failed. Could you copy stack trace above and write us (or make issue on Github)?");" is 150.,104
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,process,Long Statement,The length of the statement "getMessager().printMessage(Diagnostic.Kind.ERROR`"Moxy compilation failed; see the compiler error output for details (" + e + ")");" is 131.,104
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Identifier,The length of the identifier viewStateProviderClassGenerator is 31.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Identifier,The length of the identifier additionalMoxyReflectorPackages is 31.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Identifier,The length of the field MOXY_REFLECTOR_DEFAULT_PACKAGE is 30.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Statement,The length of the statement "checkInjectors(roundEnv`InjectPresenter.class`new PresenterInjectorRules(ElementKind.FIELD`Modifier.PUBLIC`Modifier.DEFAULT));" is 126.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Statement,The length of the statement "processInjectors(roundEnv`InjectViewState.class`ElementKind.CLASS`injectViewStateProcessor`viewStateProviderClassGenerator);" is 124.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Statement,The length of the statement "processInjectors(roundEnv`InjectPresenter.class`ElementKind.FIELD`injectPresenterProcessor`presenterBinderClassGenerator);" is 122.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,throwableProcess,Long Statement,The length of the statement "JavaFile moxyReflector=MoxyReflectorGenerator.generate(moxyReflectorPackage`injectViewStateProcessor.getPresenterClassNames()`injectPresenterProcessor.getPresentersContainers()`viewInterfaceProcessor.getUsedStrategies()`additionalMoxyReflectorPackages);" is 253.,121
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,getAdditionalMoxyReflectorPackages,Long Statement,The length of the statement "getMessager().printMessage(Diagnostic.Kind.ERROR`element + " must be " + ElementKind.CLASS.name()+ "` or not mark it as @"+ RegisterMoxyReflectorPackages.class.getSimpleName());" is 177.,164
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,processInjectors,Long Parameter List,The method has 5 parameters. ,192
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,processInjectors,Long Statement,The length of the statement "getMessager().printMessage(Diagnostic.Kind.ERROR`element + " must be " + kind.name()+ "` or not mark it as @"+ clazz.getSimpleName());" is 134.,192
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresenterInjectorRules,checkAnnotation,Long Statement,The length of the statement "mErrorBuilder.append("Field " + annotatedField + " of "+ annotatedField.getEnclosingElement().getSimpleName()+ " should be "+ mValidKind.name()+ "` or not mark it as @"+ InjectPresenter.class.getSimpleName()).append("\n");" is 222.,41
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresenterInjectorRules,checkAnnotation,Long Statement,The length of the statement "mErrorBuilder.append("Field " + annotatedField + " of "+ annotatedField.getEnclosingElement().getSimpleName()+ " can't be a "+ modifier).append(". Use ").append(validModifiersToString()).append("\n");" is 200.,41
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresenterInjectorRules,checkEnvironment,Long Statement,The length of the statement "Collection<TypeMirror> viewsType=getViewsType((TypeElement)((DeclaredType)annotatedField.getEnclosingElement().asType()).asElement());" is 134.,67
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresenterInjectorRules,checkEnvironment,Long Statement,The length of the statement "if (Util.getFullClassName(typeMirror).equals(viewClassFromGeneric) || Util.fillGenerics(Collections.<String`String>emptyMap()`typeMirror).equals(viewClassFromGeneric)) {" is 169.,67
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresenterInjectorRules,checkEnvironment,Long Statement,The length of the statement "MvpCompiler.getMessager().printMessage(Diagnostic.Kind.ERROR`"You can not use @InjectPresenter in classes that are not View` which is typified target Presenter"`annotatedField);" is 177.,67
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresenterInjectorRules,getViewClassFromGeneric,Complex Method,Cyclomatic complexity of the method is 10,90
mvp33_Moxy-master,com.arellomobile.mvp.compiler,Util,fillGenerics,Complex Method,Cyclomatic complexity of the method is 12,52
mvp33_Moxy-master,com.arellomobile.mvp.compiler,Util,getAnnotationValue,Long Statement,The length of the statement "for ( Map.Entry<? extends ExecutableElement`? extends AnnotationValue> entry : annotationMirror.getElementValues().entrySet()) {" is 128.,151
mvp33_Moxy-master,com.arellomobile.mvp.compiler,Util,getAnnotationValues,Long Statement,The length of the statement "for ( Map.Entry<? extends ExecutableElement`? extends AnnotationValue> entry : annotationMirror.getElementValues().entrySet()) {" is 128.,163
mvp33_Moxy-master,com.arellomobile.mvp.compiler,Util,decapitalizeString,Long Statement,The length of the statement "return string == null || string.isEmpty() ? "" : string.length() == 1 ? string.toLowerCase() : Character.toLowerCase(string.charAt(0)) + string.substring(1);" is 157.,190
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertExceptedFilesGenerated,Long Statement,The length of the statement "JavaFileObject actualClass=actualGeneratedFiles.stream().filter(input -> fileName.equals(input.getName())).findFirst().orElseThrow(() -> new AssertionFailedError("File " + fileName + " is not generated"));" is 205.,42
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,assertExceptedFilesGenerated,Long Statement,The length of the statement "throw new ComparisonFailure(Joiner.on('\n').join("Bytecode for file " + fileName + " not equal to excepted"`""`"Actual generated file (" + actualSource.getName() + "):"`"================"`""`actualSource.getCharContent(false)`"")`exceptedBytecode`actualBytecode);" is 263.,42
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,findSourceForClass,Long Statement,The length of the statement "String sourceFile=classFileName.replace(StandardLocation.CLASS_OUTPUT.getName()`StandardLocation.SOURCE_OUTPUT.getName()).replace(".class"`"");" is 143.,89
mvp33_Moxy-master,com.arellomobile.mvp.compiler,CompilerTest,findSourceForClass,Long Statement,The length of the statement "Optional<JavaFileObject> file=outputFiles.stream().filter(javaFileObject -> javaFileObject.getName().equals(name)).findFirst();" is 127.,89
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresentersBinderErrorTest,testNotImplementViewInterface,Long Statement,The length of the statement "assertThat(targetCompilation).hadErrorContaining("You can not use @InjectPresenter in classes that are not View` which is typified target Presenter").inFile(target).onLineContaining("EmptyViewPresenter presenter");" is 214.,17
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresentersBinderTest,test,Long Identifier,The length of the identifier exceptedPresentersBinderCompilation is 35.,32
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateProviderTest,test,Long Identifier,The length of the identifier exceptedViewStateProviderCompilation is 36.,31
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateProviderTest,test,Long Statement,The length of the statement "assertExceptedFilesGenerated(presenterCompilation.generatedFiles()`exceptedViewStateProviderCompilation.generatedFiles());" is 122.,31
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateTest,data,Long Statement,The length of the statement "return new String[]{"view.EmptyView"`"view.SimpleView"`"view.OverloadingView"`"view.StrategiesView"`"view.GenericView"`"view.GenericWithExtendsView"`"view.GenericMethodsView"`"view.strategies_inheritance.ChildView"`"view.strategies_inheritance.ParentView"};" is 257.,24
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateTest,createDummyPresenter,Long Statement,The length of the statement "return forSourceLines("presenter.DummyPresenter"`"package presenter;"`"import com.arellomobile.mvp.InjectViewState;"`"import com.arellomobile.mvp.MvpPresenter;"`"@InjectViewState"`"public class DummyPresenter extends MvpPresenter<" + viewClass + "> {}");" is 254.,51
mvp33_Moxy-master,com.arellomobile.mvp.memory_leak_test,MemoryLeakTest,test,Magic Number,The method contains a magic number: 2,28
mvp33_Moxy-master,com.arellomobile.mvp.memory_leak_test,MemoryLeakTest,test,Magic Number,The method contains a magic number: 100,28
mvp33_Moxy-master,com.arellomobile.mvp.memory_leak_test,MemoryLeakTest,test,Magic Number,The method contains a magic number: 100,28
mvp33_Moxy-master,com.arellomobile.mvp.tests,LocalPresenterTest,checkDelegatePresenter,Long Identifier,The length of the field mDelegateLocalPresenterTestView is 31.,95
mvp33_Moxy-master,com.arellomobile.mvp.tests,LocalPresenterTest,checkLocalPresenters,Long Identifier,The length of the field mDelegateLocalPresenterTestView is 31.,100
mvp33_Moxy-master,com.arellomobile.mvp.tests,LocalPresenterTest,checkLocalPresenters,Long Identifier,The length of the field mDelegateLocalPresenter2TestView is 32.,100
mvp33_Moxy-master,com.arellomobile.mvp.tests,LocalPresenterTest,checkLocalPresenters,Long Statement,The length of the statement "assertNotEquals("Local Presenters for two different view is equal"`mDelegateLocalPresenterTestView.mInjectViewStatePresenter.hashCode()`mDelegateLocalPresenter2TestView.mInjectViewStatePresenter.hashCode());" is 207.,100
mvp33_Moxy-master,com.arellomobile.mvp.tests,LocalPresenterTest,checkSaveState,Long Identifier,The length of the field mDelegateLocalPresenterTestView is 31.,105
mvp33_Moxy-master,com.arellomobile.mvp.tests,LocalPresenterTest,checkSaveState,Long Statement,The length of the statement "assertFalse("Local presenter has same hashCode after creating new view"`hashCode == mDelegateLocalPresenterTestView.mInjectViewStatePresenter.hashCode());" is 154.,105
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,InjectPresenterProcessor,process,Long Statement,The length of the statement "throw new RuntimeException("Only class fields could be annotated as @InjectPresenter: " + variableElement + " at "+ enclosingElement);" is 134.,32
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,InjectPresenterProcessor,collectTagProviders,Long Identifier,The length of the field PROVIDE_PRESENTER_TAG_ANNOTATION is 32.,113
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,InjectPresenterProcessor,bindProvidersToFields,Complex Method,Cyclomatic complexity of the method is 10,140
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,InjectPresenterProcessor,bindTagProvidersToFields,Complex Method,Cyclomatic complexity of the method is 8,176
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generate,Long Statement,The length of the statement "TypeSpec.Builder classBuilder=TypeSpec.classBuilder(containerSimpleName + MvpProcessor.PRESENTER_BINDER_SUFFIX).addModifiers(Modifier.PUBLIC).superclass(ParameterizedTypeName.get(ClassName.get(PresenterBinder.class)`targetClassName));" is 234.,53
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateGetPresentersMethod,Long Statement,The length of the statement "MethodSpec.Builder builder=MethodSpec.methodBuilder("getPresenterFields").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).returns(ParameterizedTypeName.get(ClassName.get(List.class)`ParameterizedTypeName.get(ClassName.get(PresenterField.class)`containerClassName)));" is 278.,76
mvp33_Moxy-master,com.arellomobile.mvp.compiler.presenterbinder,PresenterBinderClassGenerator,generateGetPresentersMethod,Long Statement,The length of the statement "builder.addStatement("$T<$T<$T>> presenters = new $T<>($L)"`List.class`PresenterField.class`containerClassName`ArrayList.class`fields.size());" is 142.,76
