Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
-SpringMVC-Android--APP-master,com.mobileclient.activity,NoticeQueryActivity,onCreate,37,1,1,25
-SpringMVC-Android--APP-master,com.mobileclient.activity,NoticeQueryActivity,onClick,3,1,1,40
-SpringMVC-Android--APP-master,com.mobileclient.activity,NoticeQueryActivity,onClick,14,1,1,50
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onCreate,27,1,1,50
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onClick,3,1,1,70
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onClick,3,1,1,77
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onActivityResult,11,4,3,88
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,setViews,40,1,0,102
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,run,33,1,0,106
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,run,27,1,0,112
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onEditClick,12,1,1,121
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onDeleteClick,4,1,1,138
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onContextItemSelected,19,3,1,154
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,dialog,19,1,0,182
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onClick,4,1,2,187
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onClick,3,1,2,196
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,getDatas,28,3,0,204
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,showDialog,32,1,0,235
-SpringMVC-Android--APP-master,com.mobileclient.activity,ReceiveAddressListActivity,onClick,17,1,2,241
