Project Name,Package Name,Architecture Smell,Cause of the Smell
androiddemo-master,com.bosh.module_demo.ui.activity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MusicService]; [SilentInstallActivity; MainActivity; HookClickActivity; SmsActivity; GaussActivity; NotificationActivity]; [SpannableActivity]. LCC (Lack of Component Cohesion) = 0.38
androiddemo-master,com.china.bosh.mylibrary.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.china.bosh.mylibrary.utils; com.china.bosh.mylibrary.application
androiddemo-master,com.china.bosh.mylibrary.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.china.bosh.mylibrary.application
androiddemo-master,com.china.bosh.mylibrary.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ToMd5UtilTest; ToMd5Util]; [Base64UtilTest; Base64Util; FileUtils; DateUtils]; [StringUtilsTest; StringUtils]; [SystemUtils]; [PermissionUtil; PermissionAction]; [NetWorkUtil; NetworkCallbackImpl; LogUtils; CrashHandler]; [NewsLifecycleHandler]; [PermissionsManager; PermissionsResultAction]; [ToastUtil]; [Utils]; [AnnotationUtil]; [ImageUtil]; [NotificationChannels]; [SpUtils]; [LocationUtil; AddressCallback]. LCC (Lack of Component Cohesion) = 0.58
androiddemo-master,com.china.bosh.mylibrary.retrofit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Url; RetrofitUtil; RequestEncryptInterceptor; ApiService]; [ResponseDecryptInterceptor]; [DecodeResponseBodyConverter; EncryptConverterFactory; EncodeRequestBodyConverter]. LCC (Lack of Component Cohesion) = 0.38
androiddemo-master,com.china.bosh.mylibrary.db,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DaoSession; tableTestDao; PriceEntityDao; DaoMaster; OpenHelper; DevOpenHelper; DaoManager; MyOpenHelper; DaoHelper; DaoHelperInstance; MigrationHelper]; [Properties]; [Properties]; [DaoModel; DaoModelInstance]. LCC (Lack of Component Cohesion) = 0.27
androiddemo-master,com.china.bosh.mylibrary.application,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.china.bosh.mylibrary.application; com.china.bosh.mylibrary.utils
androiddemo-master,com.bosh.module_mvvm.base,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.china.bosh.mylibrary.retrofit
androiddemo-master,com.bosh.module_mvp.ui.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bosh.module_mvp.ui.main; com.bosh.module_mvp.injector.components
androiddemo-master,com.bosh.module_mvp.ui.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bosh.module_mvp.ui.main; com.bosh.module_mvp.injector.components; com.bosh.module_mvp.ui.login
