Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,stringForTime,17,3,1,33
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,isWifiConnected,8,2,1,50
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,scanForActivity,13,5,1,59
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getStatusBarHeight,8,2,1,79
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getActionBarHeight,7,2,1,95
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,hideSupportActionBar,25,7,3,110
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,showSupportActionBar,25,7,3,138
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,hideNavKey,11,3,1,164
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,showNavKey,3,1,2,188
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getAppCompActivity,10,4,1,193
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,dip2px,4,1,2,210
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,px2dip,4,1,2,218
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getScreenWidth,6,1,1,226
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getScreenHeight,6,1,1,239
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getTextSpeed,13,4,1,252
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,deleteFile,15,4,1,267
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getActivityContext,7,5,1,282
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CommonUtil,getCurrentScreenLand,3,1,1,296
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CacheUtils,init,3,2,1,11
mvvm_jetpack-android-dev_3.0.0,com.reactlibrary.utils,CacheUtils,getData,7,1,1,16
