Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.ui.start,StartActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: StartActivityVM; StartActivity
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.ui.main,MovieItem,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: isShowDescription; movieDTO; formattedReleaseDate; formattedOverview
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.ui.main,MainActivityViewModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity; moviesModel; isLoading; isLoadingNextPage; enteredQuery; searchedQuery; recyclerConfiguration; DEVICE_ITEM_LAYOUT; moviesItems; adapter; nextPage; clickedItemPosition
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.ui.main,MainActivityViewModel,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainActivityViewModel; MainActivity
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base,BaseFragment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base,BaseFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base,BaseActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.custom_views,MovieThumbnailView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.mvvm,BindingAdapters,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.mvvm,BindingConversions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.mvvm.fragments,BindingFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.mvvm.fragments,FragmentViewModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.mvvm.activities,ActivityViewModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.base.mvvm.activities,BindingActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.services.rest.dto.movies,MovieDTO,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; original_title; original_language; title; backdrop_path; popularity; vote_count; video; vote_average; poster_path; adult; overview; release_date; genre_ids; CREATOR
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.services.rest,RetryWithDelay,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MovieFinderMVVM-master,mvvm.steelkiwi.com.moviefinder.services.rest,RestService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JSON
