Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
MarvelApp-master,com.mohamedhefny.marveltask,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,13
MarvelApp-master,com.mohamedhefny.marveltask,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
MarvelApp-master,com.mohamedhefny.marveltask,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
MarvelApp-master,com.mohamedhefny.marveltask.ui.home,HomeActivity,listenForNextPage,Long Statement,The length of the statement "if (!mCharactersRecycler.canScrollVertically(1) && !mHomeViewModel.isLoading()) mHomeViewModel.loadNextCharactersPage(mHomeAdapter.getItemCount());" is 147.,82
MarvelApp-master,com.mohamedhefny.marveltask.ui.home,HomeActivity,onScrollStateChanged,Long Statement,The length of the statement "if (!mCharactersRecycler.canScrollVertically(1) && !mHomeViewModel.isLoading()) mHomeViewModel.loadNextCharactersPage(mHomeAdapter.getItemCount());" is 147.,88
MarvelApp-master,com.mohamedhefny.marveltask.ui.home,HomeActivity,onStartSearching,Long Statement,The length of the statement "mHomeViewModel.getSearchList().observe(this`characterList -> mCharactersRecycler.setAdapter(new SearchAdapter(characterList`this)));" is 132.,96
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,HomeAdapter,onBindViewHolder,Long Statement,The length of the statement "Picasso.get().load(character.getThumbnail().getPath().concat("/landscape_xlarge.").concat(character.getThumbnail().getExtension())).placeholder(R.drawable.marvel_logo).into(characterHolder.charPic);" is 198.,70
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,SearchAdapter,onBindViewHolder,Long Statement,The length of the statement "Picasso.get().load(character.getThumbnail().getPath().concat("/standard_medium.").concat(character.getThumbnail().getExtension())).placeholder(R.drawable.logo).into(holder.characterImg);" is 186.,45
MarvelApp-master,com.mohamedhefny.marveltask.ui.viewModels,DetailsViewModel,checkPersistenceData,Long Statement,The length of the statement "if (mCharacter.getCharId() != mCharacterDetailsRepository.getCharacter().getCharId()) mCharacterDetailsRepository.clearPersistence();" is 133.,75
MarvelApp-master,com.mohamedhefny.marveltask.ui.details.adapters,DetailsAdapter,onBindViewHolder,Long Statement,The length of the statement "else Picasso.get().load(itemThumb.getPath().concat("/portrait_medium.").concat(itemThumb.getExtension())).into(holder.image);" is 125.,46
