Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
MarvelApp-master,com.mohamedhefny.marveltask,ExampleInstrumentedTest,0,0,1,1,10,1,0,0,-1.0,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/androidTest/java/com/mohamedhefny/marveltask/ExampleInstrumentedTest.java,13
MarvelApp-master,com.mohamedhefny.marveltask,ExampleUnitTest,0,0,1,1,9,1,0,0,-1.0,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/test/java/com/mohamedhefny/marveltask/ExampleUnitTest.java,7
MarvelApp-master,com.mohamedhefny.marveltask.ui.home,ClickClaback,0,0,1,0,3,1,1,0,-1.0,2,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/ClickClaback.java,3
MarvelApp-master,com.mohamedhefny.marveltask.ui.home,HomeActivity,7,0,12,5,93,18,0,1,0.16666666666666666,0,3,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/HomeActivity.java,30
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,HomeAdapter,6,0,9,7,64,14,0,0,0.3333333333333333,1,4,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/adapters/HomeAdapter.java,26
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,CharacterViewHolder,2,0,2,1,12,2,0,0,1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/adapters/HomeAdapter.java,106
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,LoadingViewHolder,0,0,1,0,5,1,0,0,-1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/adapters/HomeAdapter.java,125
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,SearchAdapter,4,0,6,5,32,6,0,0,0.5,1,4,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/adapters/SearchAdapter.java,26
MarvelApp-master,com.mohamedhefny.marveltask.ui.home.adapters,SearchViewHolder,2,0,2,1,12,2,0,0,1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/home/adapters/SearchAdapter.java,62
MarvelApp-master,com.mohamedhefny.marveltask.ui.viewModels,DetailsViewModel,2,0,10,9,68,16,0,0,0.2,2,5,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/viewModels/DetailsViewModel.java,18
MarvelApp-master,com.mohamedhefny.marveltask.ui.viewModels,HomeViewModel,2,0,7,7,37,7,0,0,0.0,1,2,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/viewModels/HomeViewModel.java,15
MarvelApp-master,com.mohamedhefny.marveltask.ui.details.adapters,DetailsAdapter,5,0,6,5,40,7,0,0,0.5,1,5,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/details/adapters/DetailsAdapter.java,26
MarvelApp-master,com.mohamedhefny.marveltask.ui.details.adapters,DetailsViewHolder,2,0,2,1,16,2,0,0,1.0,1,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/details/adapters/DetailsAdapter.java,67
MarvelApp-master,com.mohamedhefny.marveltask.ui.details,LinksAdapter,3,0,6,4,32,6,0,0,0.5,2,2,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/details/LinksAdapter.java,22
MarvelApp-master,com.mohamedhefny.marveltask.ui.details,LinkViewHolder,1,0,2,1,13,2,0,0,1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/details/LinksAdapter.java,51
MarvelApp-master,com.mohamedhefny.marveltask.ui.details,DetailsActivity,10,0,12,4,84,13,0,0,0.4166666666666667,0,5,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/details/DetailsActivity.java,30
MarvelApp-master,com.mohamedhefny.marveltask.ui.detailsPager,DetailsPagerActivity,4,0,10,5,48,11,0,0,0.5,0,3,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/detailsPager/DetailsPagerActivity.java,23
MarvelApp-master,com.mohamedhefny.marveltask.ui.detailsPager.adapters,DetailsPagerAdapter,2,0,5,5,27,6,0,0,0.6,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/detailsPager/adapters/DetailsPagerAdapter.java,19
MarvelApp-master,com.mohamedhefny.marveltask.ui,BaseActivity,2,0,3,1,14,3,0,0,1.0,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/ui/BaseActivity.java,12
MarvelApp-master,com.mohamedhefny.marveltask.util,AppDependencies,0,0,6,3,22,6,0,0,-1.0,5,6,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/util/AppDependencies.java,12
MarvelApp-master,com.mohamedhefny.marveltask.util,Converters,0,0,4,4,25,8,0,0,-1.0,0,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/util/Converters.java,14
MarvelApp-master,com.mohamedhefny.marveltask.util,HashGenerator,0,0,2,2,22,3,0,0,-1.0,3,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/util/HashGenerator.java,7
MarvelApp-master,com.mohamedhefny.marveltask.util,AppConstants,14,14,0,0,18,0,0,0,-1.0,11,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/util/AppConstants.java,3
MarvelApp-master,com.mohamedhefny.marveltask.util,EndPoints,6,6,0,0,8,0,0,0,-1.0,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/util/AppConstants.java,15
MarvelApp-master,com.mohamedhefny.marveltask.data.source.loacal,CharacterDao,0,0,5,0,7,5,0,0,-1.0,0,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/loacal/CharacterDao.java,13
MarvelApp-master,com.mohamedhefny.marveltask.data.source.loacal,MarvelDatabase,2,0,2,2,16,3,0,0,1.0,3,2,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/loacal/MarvelDatabase.java,16
MarvelApp-master,com.mohamedhefny.marveltask.data.source,CharactersRepository,8,0,11,10,65,15,0,0,0.2727272727272727,4,5,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/CharactersRepository.java,19
MarvelApp-master,com.mohamedhefny.marveltask.data.source,CharacterDetailsRepository,7,0,12,10,72,19,0,0,0.25,3,6,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/CharacterDetailsRepository.java,20
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote,ApiServices,0,0,2,0,12,2,0,0,-1.0,3,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/ApiServices.java,12
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote,RetrofitConn,1,0,1,1,9,2,0,0,0.0,2,2,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/RetrofitConn.java,8
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote.responseMapping.details,DetailsItem,2,0,4,4,19,4,0,0,0.5,1,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/responseMapping/details/DetailsItem.java,7
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote.responseMapping.details,DetailsData,5,0,10,10,37,10,0,0,0.5,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/responseMapping/details/DetailsData.java,8
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote.responseMapping.details,DetailsResponse,1,0,2,2,12,2,0,0,0.0,0,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/responseMapping/details/DetailsResponse.java,8
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote.responseMapping,GeneralResponse,6,0,12,12,47,12,0,0,0.5,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/responseMapping/GeneralResponse.java,6
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote.responseMapping.characters,CharacterResponse,1,0,2,2,9,2,0,0,0.0,0,1,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/responseMapping/characters/CharacterResponse.java,7
MarvelApp-master,com.mohamedhefny.marveltask.data.source.remote.responseMapping.characters,CharactersData,5,0,11,11,42,11,0,0,0.5454545454545454,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/source/remote/responseMapping/characters/CharactersData.java,9
MarvelApp-master,com.mohamedhefny.marveltask.data.entities,Series,0,0,0,0,2,0,0,1,-1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/entities/Series.java,8
MarvelApp-master,com.mohamedhefny.marveltask.data.entities,CharLinks,2,0,6,6,22,6,0,0,0.3333333333333333,0,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/entities/CharLinks.java,6
MarvelApp-master,com.mohamedhefny.marveltask.data.entities,Thumbnail,2,0,5,5,18,5,0,0,0.6,4,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/entities/Thumbnail.java,6
MarvelApp-master,com.mohamedhefny.marveltask.data.entities,Character,11,0,23,23,81,23,0,0,0.5217391304347826,7,5,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/entities/Character.java,12
MarvelApp-master,com.mohamedhefny.marveltask.data.entities,Stories,0,0,0,0,2,0,0,1,-1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/entities/Stories.java,8
MarvelApp-master,com.mohamedhefny.marveltask.data.entities,Comics,0,0,0,0,2,0,0,1,-1.0,1,0,/Users/shreyas/Downloads/MarvelApp-master/app/src/main/java/com/mohamedhefny/marveltask/data/entities/Comics.java,10
