Project Name,Package Name,Architecture Smell,Cause of the Smell
AndroidFrame-master,com.coco.ssa.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.coco.ssa.base; com.coco.ssa.util
AndroidFrame-master,com.coco.ssa.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.coco.ssa.base; com.coco.ssa.net; com.coco.ssa.util
AndroidFrame-master,com.coco.ssa.base,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.coco.ssa.net
AndroidFrame-master,com.coco.ssa.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseActivity]; [BaseApplication]; [BaseFragment]; [BaseFragmentActivity]; [BasePresenter]; [ListBaseAdapter; SuperViewHolder]. LCC (Lack of Component Cohesion) = 0.86
AndroidFrame-master,com.coco.ssa.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseBean]; [BaseModel]; [NameBean]; [PublicParamsModel]; [UserBean]; [UserModel]; [WeatherBean; DataBean; YesterdayBean]; [ForecastBean]. LCC (Lack of Component Cohesion) = 0.8
AndroidFrame-master,com.coco.ssa.net,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.coco.ssa.net; com.coco.ssa.util; com.coco.ssa.base
AndroidFrame-master,com.coco.ssa.net,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HttpUtil; OnResultListener]; [NetUtils]; [ProgressRequestBody; UploadCallbacks; ProgressUpdater]. LCC (Lack of Component Cohesion) = 0.5
AndroidFrame-master,com.coco.ssa.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.coco.ssa.ui; com.coco.ssa.util; com.coco.ssa.base
AndroidFrame-master,com.coco.ssa.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.coco.ssa.util; com.coco.ssa.base
AndroidFrame-master,com.coco.ssa.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.coco.ssa.util; com.coco.ssa.base; com.coco.ssa.net
AndroidFrame-master,com.coco.ssa.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.coco.ssa.base
AndroidFrame-master,com.coco.ssa.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClickUtil]; [CodeUtils]; [Constants]; [DateUtil]; [DimenUtil]; [GsonUtil; L; LoginUtil]; [MathC]; [PasswordUtil]; [ProgressDialogUtil]; [RandomUtils]; [SoftHideKeyBoardUtil]; [ToastUtil]; [UserUtil]; [Utils]; [WeakHandler; ExecHandler; WeakRunnable; ChainedRef]. LCC (Lack of Component Cohesion) = 0.75
AndroidFrame-master,com.yanzhenjie.nohttp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp; com.yanzhenjie.nohttp.tools
AndroidFrame-master,com.yanzhenjie.nohttp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp; com.yanzhenjie.nohttp.rest; com.yanzhenjie.nohttp.tools
AndroidFrame-master,com.yanzhenjie.nohttp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp; com.yanzhenjie.nohttp.rest; com.yanzhenjie.nohttp.cache; com.yanzhenjie.nohttp.tools
AndroidFrame-master,com.yanzhenjie.nohttp,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yanzhenjie.nohttp.rest; com.yanzhenjie.nohttp.download
AndroidFrame-master,com.yanzhenjie.nohttp.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.cache; com.yanzhenjie.nohttp; com.yanzhenjie.nohttp.rest
AndroidFrame-master,com.yanzhenjie.nohttp.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.cache; com.yanzhenjie.nohttp.tools; com.yanzhenjie.nohttp; com.yanzhenjie.nohttp.rest
AndroidFrame-master,com.yanzhenjie.nohttp.download,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.download; com.yanzhenjie.nohttp
AndroidFrame-master,com.yanzhenjie.nohttp.download,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.download; com.yanzhenjie.nohttp.tools; com.yanzhenjie.nohttp
AndroidFrame-master,com.yanzhenjie.nohttp.error,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NetworkError]; [NotFoundCacheError]; [ServerError]; [StorageReadWriteError]; [StorageSpaceNotEnoughError]; [TimeoutError]; [UnKnownHostError]; [URLError]. LCC (Lack of Component Cohesion) = 1.0
AndroidFrame-master,com.yanzhenjie.nohttp.rest,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.rest; com.yanzhenjie.nohttp
AndroidFrame-master,com.yanzhenjie.nohttp.rest,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.rest; com.yanzhenjie.nohttp.tools; com.yanzhenjie.nohttp
AndroidFrame-master,com.yanzhenjie.nohttp.rest,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.yanzhenjie.nohttp.cache
AndroidFrame-master,com.yanzhenjie.nohttp.tools,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.yanzhenjie.nohttp.tools; com.yanzhenjie.nohttp
