Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.adapter,FragVPAdapter,getPageTitle,Magic Number,The method contains a magic number: 2,28
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.base,BaseActivity,initInjector,Long Statement,The length of the statement "baseActivityComponent=DaggerBaseActivityComponent.builder().appComponent(((EhApplication)getApplication()).getAppComponent()).activityModule(activityModule).build();" is 165.,70
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.base,BaseDialog,build,Missing default,The following switch statement is missing a default case: switch (type) {,62
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.base,BaseFragment,lazyLoad,Complex Conditional,The conditional expression !isPrepared || !isVisible || !isFirstLoad is complex.,209
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.di.http,NetModule,getBaseParam,Magic Number,The method contains a magic number: 2,75
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.di.http,NetModule,provideInterceptorOk,Long Statement,The length of the statement "OkHttpClient.Builder builder=new OkHttpClient.Builder().connectTimeout(defaultTimeout`defaultUnit).addInterceptor(REWRITE_NET_INTERCEPTOR);" is 139.,137
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.di.http,NetModule,provideRetrofit,Long Statement,The length of the statement "return new Retrofit.Builder().baseUrl(severUrl).client(okHttpClient).addConverterFactory(GsonConverterFactory.create()).addCallAdapterFactory(RxJavaCallAdapterFactory.create()).build();" is 185.,156
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.di.http,NetModule,provideEncodeRetrofit,Long Statement,The length of the statement "return new Retrofit.Builder().baseUrl(severUrl).client(okHttpClient).addConverterFactory(GsonConverterFactory.create()).addCallAdapterFactory(RxJavaCallAdapterFactory.create()).build();" is 185.,176
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.http.async,Async,start,Long Statement,The length of the statement "return observable.compose(applySchedulers()).subscribe(asyncHandler::onNext`asyncHandler::onError`asyncHandler::onCompleted);" is 125.,23
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.http.async,Async,start,Long Statement,The length of the statement "return observable.compose(applySchedulers()).subscribe(asyncHandler::onNext`asyncHandler::onError`asyncHandler::onCompleted);" is 125.,41
42_Android-MVP-Retrofit-Dagger-RxJava-master,com.focuschina.ehealth_lib.http.async,Async,composite,Long Statement,The length of the statement "return obT.compose(applySchedulers()).flatMap(response -> response.getRspCode() == Response.SUCCESS ? obK : Observable.just(new Response<K>().builder(response.getRspCode()`response.getRspMsg()`response.getOprTime()))).subscribe(asyncHandler::onNext`asyncHandler::onError`asyncHandler::onCompleted);" is 298.,59
