Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
54_IMOOC_IM-master,net.qiujuer.italker.push,ExampleInstrumentedTest,0,0,1,1,10,1,0,0,-1.0,0,0,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\androidTest\java\net\qiujuer\italker\push\ExampleInstrumentedTest.java,12
54_IMOOC_IM-master,net.qiujuer.italker.push,App,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\App.java,8
54_IMOOC_IM-master,net.qiujuer.italker.push,LaunchActivity,2,0,13,6,101,18,0,0,0.23076923076923078,1,5,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\LaunchActivity.java,21
54_IMOOC_IM-master,net.qiujuer.italker.push,MessageReceiver,1,0,3,1,50,8,0,0,0.0,0,3,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\MessageReceiver.java,15
54_IMOOC_IM-master,net.qiujuer.italker.push,ExampleUnitTest,0,0,1,1,9,1,0,0,-1.0,0,0,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\test\java\net\qiujuer\italker\push\ExampleUnitTest.java,7
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,AccountActivity,4,0,5,3,44,7,0,0,0.8,1,1,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\AccountActivity.java,25
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,GroupCreateActivity,9,0,21,8,117,26,0,0,0.6666666666666666,4,8,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\GroupCreateActivity.java,36
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,Adapter,0,0,2,0,8,2,0,0,-1.0,1,4,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\GroupCreateActivity.java,195
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,ViewHolder,3,0,3,0,16,3,0,0,1.0,3,4,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\GroupCreateActivity.java,209
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,GroupMemberActivity,8,0,18,7,83,21,0,0,0.6111111111111112,3,9,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\GroupMemberActivity.java,26
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,ViewHolder,2,0,3,0,15,3,0,0,1.0,0,5,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\GroupMemberActivity.java,139
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,MainActivity,7,0,11,4,93,15,0,0,0.6363636363636364,4,7,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\MainActivity.java,36
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,MessageActivity,4,1,6,3,61,10,0,0,0.3333333333333333,5,5,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\MessageActivity.java,18
54_IMOOC_IM-master,net.qiujuer.italker.push.activities,PersonalActivity,11,0,14,7,83,18,0,0,0.7142857142857143,11,5,C:\Users\ranja\Downloads\New_6_May_RA\MVP\54_IMOOC_IM-master\App\ITalker\app\src\main\java\net\qiujuer\italker\push\activities\PersonalActivity.java,30
