Project Name,Package Name,Architecture Smell,Cause of the Smell
56_VVideo-master,com.mark.vvideo.bilibili.adapter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.mark.vvideo.bilibili.adapter; com.mark.vvideo.bilibili.view
56_VVideo-master,com.mark.vvideo.bilibili.adapter,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.mark.vvideo.bilibili.view
56_VVideo-master,com.mark.vvideo.bilibili.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CartoonAdapter]; [CommentAdapter; ReplyCommentAdapter]; [DetailPagerAdapter]; [HomePagerAdapter]; [HostCommentAdapter]; [TagAdapter]. LCC (Lack of Component Cohesion) = 0.86
56_VVideo-master,com.mark.vvideo.bilibili.contract,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllRankContract]; [View]; [Presenter]; [CommentContract]; [View]; [Presenter]; [IntroductionContract]; [View]; [Presenter]. LCC (Lack of Component Cohesion) = 1.0
56_VVideo-master,com.mark.vvideo.bilibili.model.entry,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllRank]; [VideosBean]; [Comment; LevelInfoBean; ListBean; ReplyBean; Introduction; HotListBean]; [LevelInfoBean]; [LevelInfoBean]; [ListBean]; [Tag]; [VideoInfo]; [DurlBean]. LCC (Lack of Component Cohesion) = 0.64
56_VVideo-master,com.mark.vvideo.bilibili.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.mark.vvideo.bilibili.view; com.mark.vvideo.bilibili.adapter
56_VVideo-master,com.mvp.library.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityTaskManager]; [AppUtils; AppInfo]; [DeviceUtils]; [EncodeUtils]; [EncryptUtils]; [KeyboardUtils]; [LogUtils]; [NetworkUtils]; [PhoneUtils]; [RegularUtils]; [ScreenUtils]; [ShellUtils; CommandResult]; [SizeUtils; onGetSizeListener]; [SPUtils]; [TimeUtils]; [UnclassifiedUtils]. LCC (Lack of Component Cohesion) = 0.84
56_VVideo-master,com.astuetz.pagerslidingtabstrip.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BuildConfig]; [R]; [attr]; [color]; [drawable]; [id]; [layout]; [styleable]. LCC (Lack of Component Cohesion) = 1.0
56_VVideo-master,com.astuetz.pagerslidingtabstrip,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BuildConfig]; [R]; [attr]; [color]; [drawable]; [id]; [layout]; [styleable]; [R]; [attr]; [color]; [drawable]; [id]; [layout]; [styleable]. LCC (Lack of Component Cohesion) = 1.0
56_VVideo-master,com.astuetz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PagerSlidingTabStrip; PageListener; PagerAdapterObserver; SavedState; OnTabReselectedListener]; [CustomTabProvider]. LCC (Lack of Component Cohesion) = 0.33
