Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
60_AndroidMvpEXample-master,hankou.com.hankouapp.common.view,MainActivityTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
60_AndroidMvpEXample-master,hankou.com.hankouapp.common.view,MainActivityTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mTestActivity; mMainActivity
60_AndroidMvpEXample-master,com.hankou.adapter,BasePagerAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
60_AndroidMvpEXample-master,com.hankou.adapter,BasePagerAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mData; mContext
60_AndroidMvpEXample-master,com.hankou.adapter,BasePagerRecyclerAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mData; mContext
60_AndroidMvpEXample-master,com.hankou.adapter,HomePagerAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mContext; mList; mInflater; mIvUserAvatar; mTvUserName; mTvUserDesc
60_AndroidMvpEXample-master,com.hankou.adapter,Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mIvUserAvatar; mTvUserName; mTvUserDesc
60_AndroidMvpEXample-master,com.hankou.adapter,TestVideoAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mVideoView; mTvVideoName
60_AndroidMvpEXample-master,com.hankou.adapter,TestVideoAdapter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePagerRecyclerAdapter
60_AndroidMvpEXample-master,com.hankou.adapter,Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
60_AndroidMvpEXample-master,com.hankou.adapter,Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mVideoView; mTvVideoName
60_AndroidMvpEXample-master,com.hankou.adapter,VideoAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mContext; mVideoList; mInflater; mVideoView; mTvVideoName
60_AndroidMvpEXample-master,com.hankou.adapter,Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
60_AndroidMvpEXample-master,com.hankou.adapter,Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mVideoView; mTvVideoName
60_AndroidMvpEXample-master,com.hankou.base,BaseActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mBaseViewLayout; mContentViewLayout; mToolBar; mTvTitle; mViewStub; mIvEmptyIcon; mTvEmptyMessage; mHideToolbar; mActivityComponent; mEmptyView; mContext
60_AndroidMvpEXample-master,com.hankou.base,BaseActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseView
60_AndroidMvpEXample-master,com.hankou.base,BaseFragment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mFragmentComponent; mBaseView; mContentLayout; mViewStub; mIvEmptyIcon; mTvEmptyMessage
60_AndroidMvpEXample-master,com.hankou.base,BasePresenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
60_AndroidMvpEXample-master,com.hankou.base,HankouApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mApplication; mAppComponent
