Project Name,Package Name,Architecture Smell,Cause of the Smell
DebugRank-master,com.grapecity.debugrank.ui.solve,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.ui.solve; com.grapecity.debugrank.ui.languages; com.grapecity.debugrank.ui.puzzles
DebugRank-master,com.grapecity.debugrank.ui.languages,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.ui.languages; com.grapecity.debugrank.ui.puzzles; com.grapecity.debugrank.ui.solve
DebugRank-master,com.grapecity.debugrank.ui.languages,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.grapecity.debugrank.ui.puzzles
DebugRank-master,com.grapecity.debugrank.ui.puzzles,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.ui.puzzles; com.grapecity.debugrank.ui.solve; com.grapecity.debugrank.ui.languages
DebugRank-master,com.grapecity.debugrank.ui.puzzles,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.grapecity.debugrank.ui.solve
DebugRank-master,com.grapecity.debugrank,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank; com.grapecity.debugrank.injection.components
DebugRank-master,com.grapecity.debugrank,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.grapecity.debugrank.injection.components; com.grapecity.debugrank.injection.module
DebugRank-master,com.grapecity.debugrank.injection.module,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.injection.module; com.grapecity.debugrank
DebugRank-master,com.grapecity.debugrank.injection.module,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestPuzzlesModule; TestPuzzlesPresenterImpl; PuzzlesModule]; [TestSolveResultModule; TestSolveResultPresenterImpl; SolveResultModule]; [TestSolveCodeModule; TestSolveCodePresenterImpl; SolveCodeModule]; [TestAppModule; AppModule]; [TestLanguagesModule; TestLanguagesPresenterImpl; LanguagesModule]; [TestRepositoryModule; RepositoryModule]; [TestNetModule; TestHackerRankWebClient; NetModule]; [SolveModule]; [CompilerModule]. LCC (Lack of Component Cohesion) = 0.43
DebugRank-master,com.grapecity.debugrank.injection.components,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.injection.components; com.grapecity.debugrank
DebugRank-master,com.grapecity.debugrank.injection.components,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.grapecity.debugrank.ui.puzzles; com.grapecity.debugrank.ui.solve
DebugRank-master,com.grapecity.debugrank.injection.components,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestMyAppComponent]; [PuzzlesComponent]; [LanguagesComponent]; [SolveCodeComponent]; [SolveResultComponent]; [SolveComponent]. LCC (Lack of Component Cohesion) = 1.0
DebugRank-master,com.grapecity.debugrank.javalib.ui.solve.result,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.javalib.ui.solve.result; com.grapecity.debugrank.javalib.ui.solve
DebugRank-master,com.grapecity.debugrank.javalib.ui.solve.code,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.javalib.ui.solve.code; com.grapecity.debugrank.javalib.ui.solve
DebugRank-master,com.grapecity.debugrank.javalib.ui.solve,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.grapecity.debugrank.javalib.ui.solve; com.grapecity.debugrank.javalib.ui.solve.code
DebugRank-master,com.grapecity.debugrank.javalib.ui.solve,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.grapecity.debugrank.javalib.ui.solve.code; com.grapecity.debugrank.javalib.ui.solve.result
