Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
MvpApp-master,com.dl7.player.utils,NetWorkUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NETWORK_TYPE_WIFI; NETWORK_TYPE_3G; NETWORK_TYPE_2G; NETWORK_TYPE_WAP; NETWORK_TYPE_UNKNOWN; NETWORK_TYPE_DISCONNECT
MvpApp-master,com.dl7.player.utils,MotionEventUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: FINGER_FLAG_1; FINGER_FLAG_2; FINGER_FLAG_3
MvpApp-master,com.dl7.player.danmaku,AcFunDanmakuParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MvpApp-master,com.dl7.player.danmaku,VideoDanmakuSync,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MvpApp-master,com.dl7.player.danmaku,BaseDanmakuData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MvpApp-master,com.dl7.player.danmaku,BiliDanmukuParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MvpApp-master,com.dl7.player.danmaku,BiliDanmukuParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mDispScaleX; mDispScaleY; TRUE_STRING; result; item; completed; index
MvpApp-master,com.dl7.player.danmaku,XmlContentHandler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TRUE_STRING; result; item; completed; index
MvpApp-master,com.dl7.player.media,AndroidMediaController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
MvpApp-master,com.dl7.player.media,IjkVideoView,Feature Envy,The tool detected a instance of this smell because toggleMediaControlsVisibility is more interested in members of the type: IMediaController
MvpApp-master,com.dl7.player.media,IjkVideoView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; mUri; mHeaders; mCurrentState; mTargetState; mSurfaceHolder; mMediaPlayer; mVideoWidth; mVideoHeight; mSurfaceWidth; mSurfaceHeight; mVideoRotationDegree; mVideoTargetRotationDegree; mOriginalMatrix; mMediaController; mOnCompletionListener; mOnPreparedListener; mCurrentBufferPercentage; mOnErrorListener; mOnInfoListener; mSeekWhenPrepared; mCanPause; mCanSeekBack; mCanSeekForward; mIsUsingMediaCodec; mIsUsingMediaCodecAutoRotate; mIsMediaCodecHandleResolutionChange; mIsUsingOpenSLES; mIsUsingMediaDataSource; mPixelFormat; mAppContext; mRenderView; mVideoSarNum; mVideoSarDen; mVideoScale; mIsNormalScreen; mScreenOrWidth; mScreenOrHeight; mSaveMatrix; mPrepareStartTime; mPrepareEndTime; mSeekStartTime; mSeekEndTime; mSizeChangedListener; mPreparedListener; mCompletionListener; mInfoListener; mErrorListener; mBufferingUpdateListener; mSeekCompleteListener; mSHCallback; s_allAspectRatio; mCurrentAspectRatio; RENDER_NONE; RENDER_SURFACE_VIEW; RENDER_TEXTURE_VIEW; mEnableBackgroundPlay
MvpApp-master,com.dl7.player.media,IjkVideoView,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 63 public methods
MvpApp-master,com.dl7.player.media,AdapterMediaQuality,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseListAdapter
MvpApp-master,com.dl7.player.media,MediaPlayerParams,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STATE_IDLE; STATE_ERROR; STATE_PREPARING; STATE_PREPARED; STATE_PLAYING; STATE_PAUSED; STATE_COMPLETED
