Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
playa-master,io.github.zeleven.playa,ExampleInstrumentedTest,useAppContext,4,1,0,19
playa-master,io.github.zeleven.playa,ExampleUnitTest,addition_isCorrect,3,1,0,13
playa-master,io.github.zeleven.playa,Playa,onCreate,5,1,0,13
playa-master,io.github.zeleven.playa,Playa,getApplicationComponent,3,1,0,22
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,EndlessRecyclerViewScrollListener,4,1,2,23
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,EndlessRecyclerViewScrollListener,4,1,1,28
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,EndlessRecyclerViewScrollListener,4,1,1,33
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,getLastVisibleItem,12,4,1,38
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,onScrolled,30,8,3,54
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,resetState,5,1,0,99
playa-master,io.github.zeleven.playa.ui.listener,EndlessRecyclerViewScrollListener,onLoadMore,0,1,3,106
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,BottomNavigationViewEx,3,1,1,53
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,BottomNavigationViewEx,3,1,2,58
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,BottomNavigationViewEx,3,1,3,63
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,init,8,1,0,68
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,addAnimationListener,20,1,0,76
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onTransitionStart,2,1,1,86
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onTransitionEnd,3,1,1,90
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onTransitionCancel,3,1,1,95
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onTransitionPause,2,1,1,100
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onTransitionResume,2,1,1,104
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,refreshTextViewVisibility,33,6,0,110
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setIconVisibility,31,7,1,151
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,run,3,1,0,197
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setTextVisibility,35,8,1,217
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getFontHeight,6,1,1,296
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,enableAnimation,30,5,1,309
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,enableShiftingMode,5,1,1,386
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,enableItemShiftingMode,8,2,1,407
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getCurrentItem,10,3,0,434
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getMenuItemPosition,11,3,1,464
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setCurrentItem,9,2,1,484
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getOnNavigationItemSelectedListener,4,1,0,519
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setOnNavigationItemSelectedListener,7,2,1,530
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getBottomNavigationMenuView,4,2,0,541
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getBottomNavigationItemViews,6,2,0,552
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getBottomNavigationItemView,3,1,1,569
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getIconAt,5,1,1,579
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getSmallLabelAt,5,1,1,596
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getLargeLabelAt,5,1,1,614
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getItemCount,5,2,0,632
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setSmallTextSize,7,2,1,644
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setLargeTextSize,7,2,1,660
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setTextSize,4,1,1,676
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setIconSizeAt,8,1,3,689
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setIconSize,6,2,2,707
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setItemHeight,5,1,1,720
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getItemHeight,4,1,0,734
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,dp2px,4,1,2,746
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setTypeface,8,2,2,758
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setTypeface,8,2,1,773
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,getField,14,1,3,787
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setField,13,1,4,809
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setupWithViewPager,3,1,1,829
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,setupWithViewPager,20,5,2,840
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,BottomNavigationViewExOnPageChangeListener,3,1,1,889
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onPageScrollStateChanged,2,1,1,893
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onPageScrolled,2,1,3,897
playa-master,io.github.zeleven.playa.ui.widget,BottomNavigationViewEx,onPageSelected,4,2,1,902
