Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
QzsWanAndroid-master,com.qzs.wandroid_sdk,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,13
QzsWanAndroid-master,com.qzs.wandroid_sdk,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
QzsWanAndroid-master,com.qzs.wandroid_sdk,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
QzsWanAndroid-master,com.qzs.wanandroid,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,13
QzsWanAndroid-master,com.qzs.wanandroid,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
QzsWanAndroid-master,com.qzs.wanandroid,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
QzsWanAndroid-master,com.qzs.wanandroid.ui.information.activity,MyCollectActivity,getMainListSuccess,Long Statement,The length of the statement "HomeFragment.startArticleDetail(MyCollectActivity.this`collectList.get(position).getTitle()`collectList.get(position).getLink() + "");" is 134.,116
QzsWanAndroid-master,com.qzs.wanandroid.ui.information.activity,MyCollectActivity,onItemClick,Long Statement,The length of the statement "HomeFragment.startArticleDetail(MyCollectActivity.this`collectList.get(position).getTitle()`collectList.get(position).getLink() + "");" is 134.,137
QzsWanAndroid-master,com.qzs.wanandroid.ui.information.activity,ArticleDetailsActivity,initView,Magic Number,The method contains a magic number: 8,79
QzsWanAndroid-master,com.qzs.wanandroid.ui.information.activity,ArticleDetailsActivity,initWebView,Magic Number,The method contains a magic number: 100,123
QzsWanAndroid-master,com.qzs.wanandroid.ui.information.activity,ArticleDetailsActivity,onProgressChanged,Magic Number,The method contains a magic number: 100,147
QzsWanAndroid-master,com.qzs.wanandroid.ui.information.activity,SearchDetailActivity,getMainListSuccess,Long Statement,The length of the statement "HomeFragment.startArticleDetail(SearchDetailActivity.this`searchList.get(position).getTitle()`searchList.get(position).getLink() + "");" is 135.,157
