Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
mvp66_Mediateka-master,com.ru.devit.mediateka,MediatekaApp,onCreate,6,1,0,21
mvp66_Mediateka-master,com.ru.devit.mediateka,MediatekaApp,getComponentsManager,3,1,0,29
mvp66_Mediateka-master,com.ru.devit.mediateka,MediatekaApp,setConnectionListener,3,1,1,33
mvp66_Mediateka-master,com.ru.devit.mediateka,MediatekaApp,getDatabaseInstance,6,2,0,37
mvp66_Mediateka-master,com.ru.devit.mediateka,MediatekaApp,initComponentsManager,3,1,0,44
mvp66_Mediateka-master,com.ru.devit.mediateka,MediatekaApp,initAppComponent,3,1,0,48
mvp66_Mediateka-master,com.ru.devit.mediateka,UnitTest,setUp,4,1,0,11
mvp66_Mediateka-master,com.ru.devit.mediateka,UnitTest,initializeMocks,3,1,0,17
mvp66_Mediateka-master,com.ru.devit.mediateka,UnitTest,onSetUp,0,1,0,21
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,onReceive,27,5,2,42
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,futureTimeInMillisFromDateAndTimeInfo,10,1,1,80
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,currentTimeInMillis,5,1,0,93
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,playSoundWhenNotificationCome,9,2,4,100
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,createScheduledIntent,11,1,2,120
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,vibrate,10,3,0,134
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,getCinemaId,3,1,1,144
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,getCinemaDesc,3,1,1,148
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,getCinemaTitle,3,1,1,152
mvp66_Mediateka-master,com.ru.devit.mediateka.data,CinemaNotificationReceiver,appendCinemaNotificationPrefix,3,1,1,156
mvp66_Mediateka-master,com.ru.devit.mediateka.data,ConnectionReceiver,onReceive,6,2,2,15
mvp66_Mediateka-master,com.ru.devit.mediateka.data,ConnectionReceiver,isInternetConnected,3,1,1,24
mvp66_Mediateka-master,com.ru.devit.mediateka.data,ConnectionReceiver,checkConnection,5,1,1,28
mvp66_Mediateka-master,com.ru.devit.mediateka.data,SharedPreferenceManager,SharedPreferenceManager,3,1,1,10
mvp66_Mediateka-master,com.ru.devit.mediateka.data,SharedPreferenceManager,saveCinemaSortingPosition,3,1,1,14
mvp66_Mediateka-master,com.ru.devit.mediateka.data,SharedPreferenceManager,getCinemaSortingPosition,3,1,0,18
mvp66_Mediateka-master,com.ru.devit.mediateka.data,SharedPreferenceManager,edit,5,1,1,22
mvp66_Mediateka-master,com.ru.devit.mediateka.data,SharedPreferenceManager,apply,0,1,1,30
mvp66_Mediateka-master,com.ru.devit.mediateka.data,Consumer,apply,0,1,1,30
mvp66_Mediateka-master,com.ru.devit.mediateka.data.datasource.db,ActorDao,getActorById,0,1,1,22
mvp66_Mediateka-master,com.ru.devit.mediateka.data.datasource.db,ActorDao,getAllActors,0,1,0,25
mvp66_Mediateka-master,com.ru.devit.mediateka.data.datasource.db,ActorDao,getAllActorsByName,0,1,1,28
mvp66_Mediateka-master,com.ru.devit.mediateka.data.datasource.db,ActorDao,insertActors,0,1,1,31
mvp66_Mediateka-master,com.ru.devit.mediateka.data.datasource.db,ActorDao,insertCinemas,0,1,1,34
