Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mvp88_musiQ-master,com.dihanov.musiq,LoginPresenterTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: rxJavaTestRule; view; presenter; lastFmApiClient; lastFmApiService; rule
mvp88_musiQ-master,com.dihanov.musiq.config,Config,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: API_KEY; API_SECRET; API__KEY_FANART; LAST_FM_API_URL; LAST_FM_CALL; FORMAT
mvp88_musiQ-master,com.dihanov.musiq.config,Config,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: API_KEY; API_SECRET; API__KEY_FANART; LAST_FM_API_URL; LAST_FM_CALL; FORMAT
mvp88_musiQ-master,com.dihanov.musiq.data.db,CachedScrobble,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; artistName; trackName; timestamp
mvp88_musiQ-master,com.dihanov.musiq.data.db,CachedScrobble,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; artistName; trackName; timestamp
mvp88_musiQ-master,com.dihanov.musiq.data.network,ArtistImageDeserializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mvp88_musiQ-master,com.dihanov.musiq.data.repository.scrobble,Error,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: SERVICE_OFFLINE; SERVICE_UNVAVAILABLE; IVALID_SESSION_KEY
mvp88_musiQ-master,com.dihanov.musiq.data.repository.scrobble,Error,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SERVICE_OFFLINE; SERVICE_UNVAVAILABLE; IVALID_SESSION_KEY
mvp88_musiQ-master,com.dihanov.musiq.data.repository.scrobble,Scrobble,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
mvp88_musiQ-master,com.dihanov.musiq.data.repository.scrobble,State,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NONE; lastPauseTime; state; penalty
mvp88_musiQ-master,com.dihanov.musiq.data.repository.user,UserSettingsRepository,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
mvp88_musiQ-master,com.dihanov.musiq.data.usecase,AuthenticateUserUseCase,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseUseCase
