Project Name,Package Name,Architecture Smell,Cause of the Smell
CodeSmells-in-application-MVP-2,com.jess.arms.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.base; com.jess.arms.utils
CodeSmells-in-application-MVP-2,com.jess.arms.base,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.base; com.jess.arms.integration.cache; com.jess.arms.utils
CodeSmells-in-application-MVP-2,com.jess.arms.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AdapterViewPager]; [App; BaseApplication]; [BaseActivity]; [BaseFragment; BaseLazyLoadFragment; Unused]; [BaseHolder; OnViewClickListener; DefaultAdapter; OnRecyclerViewItemClickListener]; [BaseService]; [Platform]. LCC (Lack of Component Cohesion) = 0.54
CodeSmells-in-application-MVP-2,com.jess.arms.base.delegate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.base.delegate; com.jess.arms.integration
CodeSmells-in-application-MVP-2,com.jess.arms.base.delegate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.base.delegate; com.jess.arms.utils; com.jess.arms.integration
CodeSmells-in-application-MVP-2,com.jess.arms.base.delegate,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.jess.arms.di.module
CodeSmells-in-application-MVP-2,com.jess.arms.base.delegate,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityDelegate; ActivityDelegateImpl; IActivity]; [AppDelegate; AppComponentCallbacks; AppLifecycles]; [FragmentDelegate; FragmentDelegateImpl; IFragment]. LCC (Lack of Component Cohesion) = 0.33
CodeSmells-in-application-MVP-2,com.jess.arms.di.component,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.di.component; com.jess.arms.base.delegate
CodeSmells-in-application-MVP-2,com.jess.arms.di.component,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.jess.arms.base.delegate; com.jess.arms.di.module
CodeSmells-in-application-MVP-2,com.jess.arms.di.module,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.di.module; com.jess.arms.integration
CodeSmells-in-application-MVP-2,com.jess.arms.di.module,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.di.module; com.jess.arms.integration; com.jess.arms.base.delegate
CodeSmells-in-application-MVP-2,com.jess.arms.di.module,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.di.module; com.jess.arms.integration.cache; com.jess.arms.utils; com.jess.arms.integration
CodeSmells-in-application-MVP-2,com.jess.arms.di.module,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.di.module; com.jess.arms.integration.cache; com.jess.arms.utils; com.jess.arms.integration; com.jess.arms.base.delegate
