Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid,ApplicationTest,0,0,1,1,8,1,0,0,-1.0,0,0,C:\CodeSmells-in-application-MVP-5\app\src\androidTest\java\com\israelferrer\effectiveandroid\ApplicationTest.java,6
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid,EffectiveAndroidApplication,0,0,2,2,13,2,1,0,-1.0,0,0,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\EffectiveAndroidApplication.java,10
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid,PresenterHolder,2,0,5,4,29,7,0,0,0.4,3,2,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\PresenterHolder.java,8
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid,TestEffectiveAndroidApplication,0,0,1,1,7,1,0,1,-1.0,0,0,C:\CodeSmells-in-application-MVP-5\app\src\test\java\com\israelferrer\effectiveandroid\TestEffectiveAndroidApplication.java,3
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.entities,Article,5,1,14,13,77,20,0,0,0.2857142857142857,6,1,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\entities\Article.java,9
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.entities,Image,5,1,14,13,78,21,0,0,0.2857142857142857,5,1,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\entities\Image.java,9
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.entities,Profile,2,0,4,4,20,4,0,0,0.0,4,1,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\entities\Profile.java,5
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.models,ScreenContainerModel,0,0,1,0,6,1,1,0,-1.0,1,0,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\models\ScreenContainerModel.java,6
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.models,ScreenContainerModelImpl,1,0,4,4,19,4,0,1,0.75,0,2,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\models\ScreenContainerModelImpl.java,11
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.models,TopArticleListModel,0,0,1,0,6,1,1,0,-1.0,2,0,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\models\TopArticleListModel.java,8
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.models,TopArticleListModelImpl,1,0,7,4,42,10,0,1,0.42857142857142855,1,2,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\models\TopArticleListModelImpl.java,20
CodeSmells-in-application-MVP-5,com.israelferrer.effectiveandroid.models,TopImageListModel,0,0,1,0,6,1,1,0,-1.0,1,0,C:\CodeSmells-in-application-MVP-5\app\src\main\java\com\israelferrer\effectiveandroid\models\TopImageListModel.java,8
