Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
android-mvp-architecture-master,com.mindorks.framework.mvp.di.module,ApplicationTestModule,provideCalligraphyDefaultConfig,Long Statement,The length of the statement "return new CalligraphyConfig.Builder().setDefaultFontPath("fonts/source-sans-pro/SourceSansPro-Regular.ttf").setFontAttrId(R.attr.fontPath).build();" is 148.,121
android-mvp-architecture-master,com.mindorks.framework.mvp.di.module,ApplicationModule,provideCalligraphyDefaultConfig,Long Statement,The length of the statement "return new CalligraphyConfig.Builder().setDefaultFontPath("fonts/source-sans-pro/SourceSansPro-Regular.ttf").setFontAttrId(R.attr.fontPath).build();" is 148.,120
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,onServerLoginClick,Long Statement,The length of the statement "getCompositeDisposable().add(getDataManager().doServerLoginApiCall(new LoginRequest.ServerLoginRequest(email`password)).subscribeOn(getSchedulerProvider().io()).observeOn(getSchedulerProvider().ui()).subscribe(new Consumer<LoginResponse>(){" is 240.,48
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,onServerLoginClick,Long Statement,The length of the statement "getDataManager().updateUserInfo(response.getAccessToken()`response.getUserId()`DataManager.LoggedInMode.LOGGED_IN_MODE_SERVER`response.getUserName()`response.getUserEmail()`response.getGoogleProfilePicUrl());" is 208.,48
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,accept,Long Statement,The length of the statement "getDataManager().updateUserInfo(response.getAccessToken()`response.getUserId()`DataManager.LoggedInMode.LOGGED_IN_MODE_SERVER`response.getUserName()`response.getUserEmail()`response.getGoogleProfilePicUrl());" is 208.,70
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,onGoogleLoginClick,Long Statement,The length of the statement "getCompositeDisposable().add(getDataManager().doGoogleLoginApiCall(new LoginRequest.GoogleLoginRequest("test1"`"test1")).subscribeOn(getSchedulerProvider().io()).observeOn(getSchedulerProvider().ui()).subscribe(new Consumer<LoginResponse>(){" is 241.,107
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,onGoogleLoginClick,Long Statement,The length of the statement "getDataManager().updateUserInfo(response.getAccessToken()`response.getUserId()`DataManager.LoggedInMode.LOGGED_IN_MODE_GOOGLE`response.getUserName()`response.getUserEmail()`response.getGoogleProfilePicUrl());" is 208.,107
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,accept,Long Statement,The length of the statement "getDataManager().updateUserInfo(response.getAccessToken()`response.getUserId()`DataManager.LoggedInMode.LOGGED_IN_MODE_GOOGLE`response.getUserName()`response.getUserEmail()`response.getGoogleProfilePicUrl());" is 208.,117
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,onFacebookLoginClick,Long Statement,The length of the statement "getCompositeDisposable().add(getDataManager().doFacebookLoginApiCall(new LoginRequest.FacebookLoginRequest("test3"`"test4")).subscribeOn(getSchedulerProvider().io()).observeOn(getSchedulerProvider().ui()).subscribe(new Consumer<LoginResponse>(){" is 245.,153
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,onFacebookLoginClick,Long Statement,The length of the statement "getDataManager().updateUserInfo(response.getAccessToken()`response.getUserId()`DataManager.LoggedInMode.LOGGED_IN_MODE_FB`response.getUserName()`response.getUserEmail()`response.getGoogleProfilePicUrl());" is 204.,153
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenter,accept,Long Statement,The length of the statement "getDataManager().updateUserInfo(response.getAccessToken()`response.getUserId()`DataManager.LoggedInMode.LOGGED_IN_MODE_FB`response.getUserName()`response.getUserEmail()`response.getGoogleProfilePicUrl());" is 204.,163
android-mvp-architecture-master,com.mindorks.framework.mvp.ui.login,LoginPresenterTest,testServerLoginSuccess,Long Statement,The length of the statement "doReturn(Observable.just(loginResponse)).when(mMockDataManager).doServerLoginApiCall(new LoginRequest.ServerLoginRequest(email`password));" is 138.,68
android-mvp-architecture-master,com.mindorks.framework.mvp.data,AppDataManager,updateUserInfo,Long Parameter List,The method has 6 parameters. ,182
android-mvp-architecture-master,com.mindorks.framework.mvp.data,AppDataManager,seedDatabaseQuestions,Long Statement,The length of the statement "List<Question> questionList=gson.fromJson(CommonUtils.loadJSONFromAsset(mContext`AppConstants.SEED_DATABASE_QUESTIONS)`type);" is 125.,247
android-mvp-architecture-master,com.mindorks.framework.mvp.data,AppDataManager,apply,Long Statement,The length of the statement "List<Question> questionList=gson.fromJson(CommonUtils.loadJSONFromAsset(mContext`AppConstants.SEED_DATABASE_QUESTIONS)`type);" is 125.,255
android-mvp-architecture-master,com.mindorks.framework.mvp.data,DataManager,updateUserInfo,Long Parameter List,The method has 6 parameters. ,39
