Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags,ExampleInstrumentedTest,0,0,1,1,10,1,0,0,-1.0,0,0,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/androidTest/java/iammert/com/instagramtags/ExampleInstrumentedTest.java,12
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags,ExampleUnitTest,0,0,1,1,9,1,0,0,-1.0,0,0,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/test/java/iammert/com/instagramtags/ExampleUnitTest.java,7
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags,InstagramTagsApp,1,0,3,2,16,3,0,0,0.0,1,1,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/InstagramTagsApp.java,10
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.splash,SplashViewModel,3,0,6,4,26,7,0,0,0.5,2,2,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/splash/SplashViewModel.java,11
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.splash,SplashListener,0,0,2,0,4,2,0,0,-1.0,1,0,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/splash/SplashViewModel.java,41
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.medialist,MediaListViewModel,7,3,5,3,31,6,0,0,0.6,2,4,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/medialist/MediaListViewModel.java,12
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.medialist,MediaListListener,0,0,2,0,4,2,0,0,-1.0,1,1,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/medialist/MediaListViewModel.java,51
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.medialist,MediaListItemViewModel,5,4,1,1,17,1,0,0,0.0,2,1,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/medialist/MediaListItemViewModel.java,9
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.searchtag,SearchTagItemViewModel,4,2,2,2,18,2,0,0,0.0,2,3,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/searchtag/SearchTagItemViewModel.java,11
CodeSmells-in-application-MVVM-1,iammert.com.instagramtags.viewmodel.searchtag,TagClickEvent,1,1,1,1,9,1,0,0,0.0,1,1,/Users/shreyas/Downloads/CodeSmells-in-application-MVVM-1/app/src/main/java/iammert/com/instagramtags/viewmodel/searchtag/TagClickEvent.java,5
