Project Name,Package Name,Architecture Smell,Cause of the Smell
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.github,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GithubService; RetrofitGithubDataSource; RetrofitGithubDataSource; RetrofitGithubDataSource]; [GithubService]; [GithubService]. LCC (Lack of Component Cohesion) = 0.5
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SearchHistoryContract]; [SearchHistoryEntry; SearchHistoryDbHelper; SqliteSearchHistoryDataSource; SearchHistoryDbHelper; SqliteSearchHistoryDataSource; SearchHistoryDbHelper; SqliteSearchHistoryDataSource]; [SearchHistoryContract]; [SearchHistoryEntry]; [SearchHistoryContract]; [SearchHistoryEntry]. LCC (Lack of Component Cohesion) = 0.5
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.interfaces,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GithubDataSource]; [SearchHistoryDataSource]; [GithubDataSource]; [SearchHistoryDataSource]; [GithubDataSource]; [SearchHistoryDataSource]. LCC (Lack of Component Cohesion) = 1.0
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.models,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SearchHistoryItem]; [SearchUsersResult]; [Item]; [User]; [SearchHistoryItem]; [SearchUsersResult]; [Item]; [User]; [SearchHistoryItem]; [SearchUsersResult]; [Item]; [User]. LCC (Lack of Component Cohesion) = 1.0
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.usecases,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GetSearchHistoryUseCase; GetSearchHistoryUseCaseTest; GetSearchHistoryUseCaseTest; GetSearchHistoryUseCaseTest]; [GetUserUseCase; GetUserUseCaseTest; GetUserUseCaseTest; GetUserUseCaseTest]; [SearchUsersUseCase; SearchUsersUseCaseTest; SearchUsersUseCaseTest; SearchUsersUseCaseTest]; [GetSearchHistoryUseCase]; [GetUserUseCase]; [SearchUsersUseCase]; [GetSearchHistoryUseCase]; [GetUserUseCase]; [SearchUsersUseCase]. LCC (Lack of Component Cohesion) = 0.5
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultServiceLocator; MainThreadExecutorService; ServiceLocator; DefaultServiceLocator; DefaultServiceLocator]; [NoOpLogger]; [MainThreadExecutorService]; [ServiceLocator]; [NoOpLogger]; [MainThreadExecutorService]; [ServiceLocator]; [NoOpLogger]. LCC (Lack of Component Cohesion) = 0.67
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.search,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.wasisto.githubuserfinder.android.ui.search; com.wasisto.githubuserfinder.android.ui.common
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.search,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.wasisto.githubuserfinder.android.ui.search; com.wasisto.githubuserfinder.android.ui.userdetails; com.wasisto.githubuserfinder.android.ui.common
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.search,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SearchActivity; SearchHistoryAdapter; ViewHolder; SearchPresenter; SearchResultAdapter; SearchView; SearchPresenterTest; SearchBindingAdapters; SearchHistoryAdapter; SearchResultAdapter; SearchViewModel; SearchViewModelTest; SearchActivity; SearchHistoryAdapter; SearchPresenter; SearchResultAdapter; SearchPresenterTest; SearchActivity; ViewHolder; ViewHolder]; [ViewHolder]; [ViewHolder]; [ViewHolder]; [SearchView]. LCC (Lack of Component Cohesion) = 0.21
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.userdetails,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.wasisto.githubuserfinder.android.ui.userdetails; com.wasisto.githubuserfinder.android.ui.common
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.userdetails,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.wasisto.githubuserfinder.android.ui.userdetails; com.wasisto.githubuserfinder.android.ui.common; com.wasisto.githubuserfinder.android.ui.search
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.userdetails,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.wasisto.githubuserfinder.android.ui.common
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.userdetails,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserDetailsActivity; UserDetailsPresenter; UserDetailsView; UserDetailsPresenterTest; UserDetailsActivity; UserDetailsPresenter; UserDetailsPresenterTest]; [UserDetailsActivity; UserDetailsViewModel; UserDetailsViewModelTest]; [UserDetailsView]. LCC (Lack of Component Cohesion) = 0.27
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.common,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.wasisto.githubuserfinder.android.ui.common; com.wasisto.githubuserfinder.android.ui.search
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.common,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.wasisto.githubuserfinder.android.ui.common; com.wasisto.githubuserfinder.android.ui.search; com.wasisto.githubuserfinder.android.ui.userdetails
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.ui.common,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.wasisto.githubuserfinder.android.ui.search
