Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
39_MVVM-Projects-master,com.example.roomwordssamplejava,ExampleInstrumentedTest,useAppContext,4,1,0,20
39_MVVM-Projects-master,com.example.roomwordssamplejava,InstantTaskExecutorRule,starting,15,1,1,31
39_MVVM-Projects-master,com.example.roomwordssamplejava,InstantTaskExecutorRule,executeOnDiskIO,3,1,1,35
39_MVVM-Projects-master,com.example.roomwordssamplejava,InstantTaskExecutorRule,postToMainThread,3,1,1,40
39_MVVM-Projects-master,com.example.roomwordssamplejava,InstantTaskExecutorRule,isMainThread,3,1,0,45
39_MVVM-Projects-master,com.example.roomwordssamplejava,InstantTaskExecutorRule,finished,4,1,1,52
39_MVVM-Projects-master,com.example.roomwordssamplejava,LiveDataTestUtil,getValue,15,1,1,27
39_MVVM-Projects-master,com.example.roomwordssamplejava,LiveDataTestUtil,onChanged,5,1,1,35
39_MVVM-Projects-master,com.example.roomwordssamplejava,WordDaoTest,createDb,5,1,0,59
39_MVVM-Projects-master,com.example.roomwordssamplejava,WordDaoTest,closeDb,3,1,0,71
39_MVVM-Projects-master,com.example.roomwordssamplejava,WordDaoTest,insertAndGetWord,6,1,0,76
39_MVVM-Projects-master,com.example.roomwordssamplejava,WordDaoTest,getAllWords,9,1,0,84
39_MVVM-Projects-master,com.example.roomwordssamplejava,WordDaoTest,deleteAll,9,1,0,95
39_MVVM-Projects-master,com.example.roomwordssamplejava,ExampleUnitTest,addition_isCorrect,3,1,0,13
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordListAdapter,WordListAdapter,3,1,1,21
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordListAdapter,onCreateViewHolder,4,1,2,23
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordListAdapter,onBindViewHolder,9,2,2,29
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordListAdapter,setWords,4,1,1,40
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordListAdapter,getItemCount,4,2,0,47
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordListAdapter,WordViewHolder,4,1,1,57
39_MVVM-Projects-master,com.example.roomwordssamplejava.adapter,WordViewHolder,WordViewHolder,4,1,1,57
39_MVVM-Projects-master,com.example.roomwordssamplejava.db.dao,WordDao,insert,0,1,1,15
39_MVVM-Projects-master,com.example.roomwordssamplejava.db.dao,WordDao,getAllWords,0,1,0,18
39_MVVM-Projects-master,com.example.roomwordssamplejava.db.dao,WordDao,deleteAll,0,1,0,21
39_MVVM-Projects-master,com.example.roomwordssamplejava.db.entity,Word,Word,3,1,1,16
39_MVVM-Projects-master,com.example.roomwordssamplejava.db.entity,Word,getWord,3,1,0,20
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,WordRoomDatabase,wordDao,0,1,0,22
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,WordRoomDatabase,getDatabase,10,3,1,26
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,WordRoomDatabase,onOpen,4,1,1,48
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,WordRoomDatabase,PopulateDbAsync,3,1,1,64
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,WordRoomDatabase,doInBackground,8,2,1,68
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,PopulateDbAsync,PopulateDbAsync,3,1,1,64
39_MVVM-Projects-master,com.example.roomwordssamplejava.db,PopulateDbAsync,doInBackground,8,2,1,68
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,WordRepository,WordRepository,5,1,1,19
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,WordRepository,getAllWords,3,1,0,25
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,WordRepository,insert,3,1,1,29
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,WordRepository,insertAsyncTask,3,1,1,37
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,WordRepository,doInBackground,4,1,1,41
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,insertAsyncTask,insertAsyncTask,3,1,1,37
39_MVVM-Projects-master,com.example.roomwordssamplejava.repository,insertAsyncTask,doInBackground,4,1,1,41
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,MainActivity,onCreate,23,1,1,30
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,MainActivity,onChanged,3,1,1,45
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,MainActivity,onClick,4,1,1,52
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,MainActivity,onActivityResult,10,2,3,60
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,NewWordActivity,onCreate,21,2,1,19
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,NewWordActivity,onClick,12,2,1,29
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,WordViewModel,WordViewModel,5,1,1,19
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,WordViewModel,getAllWords,3,1,0,26
39_MVVM-Projects-master,com.example.roomwordssamplejava.ui,WordViewModel,insert,3,1,1,30
39_MVVM-Projects-master,com.example.todolist_java,ExampleInstrumentedTest,useAppContext,4,1,0,20
39_MVVM-Projects-master,com.example.todolist_java,LiveDataTestUtil,getOrAwaitValue,17,2,1,12
39_MVVM-Projects-master,com.example.todolist_java,LiveDataTestUtil,onChanged,5,1,1,16
39_MVVM-Projects-master,com.example.todolist_java.database,AppDatabase,getInstance,10,2,1,23
39_MVVM-Projects-master,com.example.todolist_java.database,AppDatabase,taskDao,0,1,0,36
39_MVVM-Projects-master,com.example.todolist_java.database,DateConverter,toDate,3,1,1,8
39_MVVM-Projects-master,com.example.todolist_java.database,DateConverter,toTimestamp,3,1,1,13
39_MVVM-Projects-master,com.example.todolist_java.database,TaskDaoTest,setUp,6,1,0,43
39_MVVM-Projects-master,com.example.todolist_java.database,TaskDaoTest,insertTask,14,1,0,52
39_MVVM-Projects-master,com.example.todolist_java.database,TaskDaoTest,updateTask,14,1,0,73
39_MVVM-Projects-master,com.example.todolist_java.database,TaskDaoTest,deleteTask,12,1,0,95
39_MVVM-Projects-master,com.example.todolist_java.database,TaskDaoTest,loadTaskById,9,1,0,116
39_MVVM-Projects-master,com.example.todolist_java.database,TaskDaoTest,tearDown,3,1,0,132
39_MVVM-Projects-master,com.example.todolist_java.database.dao,TaskDao,loadAllTasks,0,1,0,18
39_MVVM-Projects-master,com.example.todolist_java.database.dao,TaskDao,insertTask,0,1,1,21
39_MVVM-Projects-master,com.example.todolist_java.database.dao,TaskDao,updateTask,0,1,1,24
39_MVVM-Projects-master,com.example.todolist_java.database.dao,TaskDao,deleteTask,0,1,1,27
39_MVVM-Projects-master,com.example.todolist_java.database.dao,TaskDao,loadTaskById,0,1,1,30
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,TaskEntry,5,1,3,20
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,TaskEntry,6,1,4,28
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,getId,3,1,0,35
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,setId,3,1,1,39
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,getDescription,3,1,0,43
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,setDescription,3,1,1,47
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,getPriority,3,1,0,51
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,setPriority,3,1,1,55
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,getUpdatedAt,3,1,0,59
39_MVVM-Projects-master,com.example.todolist_java.database.entity,TaskEntry,setUpdatedAt,3,1,1,63
39_MVVM-Projects-master,com.example.todolist_java.excecutor,AppExecutors,AppExecutors,5,1,3,42
39_MVVM-Projects-master,com.example.todolist_java.excecutor,AppExecutors,getInstance,8,2,0,48
39_MVVM-Projects-master,com.example.todolist_java.excecutor,AppExecutors,diskIO,3,1,0,59
39_MVVM-Projects-master,com.example.todolist_java.excecutor,AppExecutors,mainThread,3,1,0,63
39_MVVM-Projects-master,com.example.todolist_java.excecutor,AppExecutors,networkIO,3,1,0,67
39_MVVM-Projects-master,com.example.todolist_java.excecutor,AppExecutors,execute,3,1,1,74
39_MVVM-Projects-master,com.example.todolist_java.excecutor,MainThreadExecutor,execute,3,1,1,74
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,TaskAdapter,4,1,2,53
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,onCreateViewHolder,4,1,2,64
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,onBindViewHolder,13,1,2,78
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,getPriorityColor,17,4,1,110
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,getItemCount,6,2,0,129
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,getTasks,3,1,0,140
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,setTasks,4,1,1,144
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,onItemClickListener,0,1,1,154
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,TaskViewHolder,7,1,1,165
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskAdapter,onClick,4,1,1,179
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,ItemClickListener,onItemClickListener,0,1,1,154
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskViewHolder,TaskViewHolder,7,1,1,165
39_MVVM-Projects-master,com.example.todolist_java.recyclerview,TaskViewHolder,onClick,4,1,1,179
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,onCreate,19,4,1,69
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,setTestViewModel,3,1,1,95
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,testLiveData,11,1,0,100
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,onChanged,5,1,1,103
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,onSaveInstanceState,4,1,1,113
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,initViews,11,1,0,119
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,onClick,3,1,1,128
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,populateUI,7,2,1,135
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,onSaveButtonClicked,19,2,0,149
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,run,10,2,0,160
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,getPriorityFromViews,15,4,0,175
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivity,setPriorityInViews,12,4,1,194
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,onCreate,37,1,1,61
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,onMove,3,1,3,88
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,onSwiped,10,1,2,94
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,run,5,1,0,98
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,onClick,4,1,1,116
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,setTestViewModel,3,1,1,128
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,setupViewModel,10,1,0,133
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,onChanged,4,1,1,136
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivity,onItemClickListener,5,1,1,144
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivityTest,setUp,5,1,0,49
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivityTest,testOnChangeLiveData,10,1,0,59
39_MVVM-Projects-master,com.example.todolist_java.ui,AddTaskActivityTest,testLiveDataPopulateUICall,12,1,0,79
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivityTest,setUp,5,1,0,58
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivityTest,onItemClickListener,4,1,0,68
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivityTest,testOnChangeLiveData,10,1,0,78
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivityTest,testSetUpViewModel,10,1,0,99
39_MVVM-Projects-master,com.example.todolist_java.ui,MainActivityTest,initData,8,1,0,119
39_MVVM-Projects-master,com.example.todolist_java.ui.factory,AddTaskViewModelFactory,AddTaskViewModelFactory,4,1,2,14
39_MVVM-Projects-master,com.example.todolist_java.ui.factory,AddTaskViewModelFactory,create,3,1,1,20
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModel,AddTaskViewModel,3,1,2,16
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModel,getTaskEntry,3,1,0,20
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModel,apply,3,1,1,35
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModel,setNewValue,3,1,1,41
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,MainViewModel,MainViewModel,6,1,1,21
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,MainViewModel,getTasks,3,1,0,28
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModelTest,setUp,7,1,0,51
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModelTest,getTaskEntry,4,1,0,65
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModelTest,setNewValueOptionOne,12,1,0,71
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModelTest,onChanged,3,1,1,76
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModelTest,setNewValueOptionTwo,6,1,0,89
39_MVVM-Projects-master,com.example.todolist_java.ui.viewmodel,AddTaskViewModelTest,setNewValueOptionThreeVerifyObserver,8,1,0,100
