Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter,MyApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sApp; mAPIService; mGoogleApiClient; mLastLocation
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter,MyApplication,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ResponseInterceptor; MyApplication; RetrofitServiceFactory
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,BaseViewModel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,UserListViewModel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,UserListViewModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,UserViewModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,UserViewModel,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseViewModel
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,AuthViewModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels,AuthViewModel,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseViewModel
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels.outputs,UserViewModelOutputs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.viewmodels.inputs,UserViewModelInputs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils,RxBus,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils,JwtUtils,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils,CalendarUtils,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils.constants,I,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: HTTP_NO_CONTENT; CAMERA_REQUEST_CODE; LOCATION_REQUEST_CODE; SPLASH_DISPLAY_LENGTH
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils.constants,I,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HTTP_NO_CONTENT; CAMERA_REQUEST_CODE; LOCATION_REQUEST_CODE; SPLASH_DISPLAY_LENGTH
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils.constants,S,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: title_masuk; title_lupa_password; loading_text; loading_auth; success_lupa_password; error_generic; error_id_kosong; error_lupa_password; error_password_kosong; error_tidak_ada_data; error_unknown; error_connect; camera_permission_message; location_permission_message
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils.constants,S,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: title_masuk; title_lupa_password; loading_text; loading_auth; success_lupa_password; error_generic; error_id_kosong; error_lupa_password; error_password_kosong; error_tidak_ada_data; error_unknown; error_connect; camera_permission_message; location_permission_message
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils.constants,K,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: MAX_RETRIES; USER_LIST; USER_DETAIL
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.utils.constants,K,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_RETRIES; USER_LIST; USER_DETAIL
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.models,User,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; name; email
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.local.contracts,CacheContract,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.local.contracts,RAGEContract,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.events,BaseEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.events,BaseEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.remote,BaseAPI,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: app
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.remote,UserAPI,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAPI
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.remote,AuthAPI,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAPI
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.remote.contracts,Authentication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CodeSmells-in-application-MVVM-5,id.co.flipbox.mvvmstarter.data.remote.contracts,CRUDContract,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
